Date,GOOG,dayofweek,weekly_ret
2017-03-24,814.43,4,0.010518825970945667
2017-03-31,829.56,4,-0.04423085950335637
2017-04-07,824.67,4,0.018577409967707403
2017-04-21,843.19,4,-0.0058946911615795905
2017-04-28,905.96,4,0.022457467835619305
2017-05-05,927.13,4,0.0744434824891187
2017-05-12,932.22,4,0.023367477592829644
2017-05-19,934.01,4,0.005490060725033219
2017-05-26,971.47,4,0.0019201476046426524
2017-06-02,975.6,4,0.04010663697390826
2017-06-09,949.83,4,0.004251289283251136
2017-06-16,939.78,4,-0.0264145141451414
2017-06-23,965.59,4,-0.010580840782034806
2017-06-30,908.73,4,0.027463874523824705
2017-07-07,918.59,4,-0.05888627678414238
2017-07-14,955.99,4,0.010850307572106033
2017-07-21,972.92,4,0.04071457342231022
2017-07-28,941.53,4,0.017709390265588487
2017-08-04,927.96,4,-0.032263701023722335
2017-08-11,914.39,4,-0.014412711225345931
2017-08-18,910.67,4,-0.01462347514979101
2017-08-25,915.89,4,-0.004068285961132623
2017-09-01,937.34,4,0.005732043440543899
2017-09-08,926.5,4,0.023419842994246043
2017-09-15,920.29,4,-0.011564640365289036
2017-09-22,928.53,4,-0.006702644360496501
2017-09-29,959.11,4,0.008953699377370228
2017-10-06,978.89,4,0.03293377704543743
2017-10-13,989.68,4,0.020623286171554955
2017-10-20,988.2,4,0.01102268896403058
2017-10-27,1019.27,4,-0.001495432867189339
2017-11-03,1032.48,4,0.031441003845375404
2017-11-10,1028.07,4,0.012960255869396864
2017-11-17,1019.09,4,-0.004271269177126946
2017-11-24,1040.61,4,-0.008734813777271921
2017-12-01,1010.17,4,0.021116878784013027
2017-12-08,1037.05,4,-0.02925207330315871
2017-12-15,1064.19,4,0.026609382579169782
2017-12-22,1060.12,4,0.02617038715587494
2017-12-29,1046.4,4,-0.003824505022599456
2018-01-05,1102.23,4,-0.012941931102139148
2018-01-12,1122.26,4,0.053354357798165
2018-01-19,1137.51,4,0.01817225080064966
2018-01-26,1175.84,4,0.013588651471138524
2018-02-02,1111.9,4,0.033696407064553124
2018-02-09,1037.78,4,-0.054378146686623885
2018-02-16,1094.8,4,-0.06666067092364436
2018-02-23,1126.79,4,0.054944207828248715
2018-03-02,1078.92,4,0.02921994884910495
2018-03-09,1160.04,4,-0.04248351511816739
2018-03-16,1135.73,4,0.07518629740851956
2018-03-23,1021.57,4,-0.020956173925037014
2018-04-06,1007.04,4,-0.1005168481945532
2018-04-13,1029.27,4,-0.014223205458265276
2018-04-20,1072.96,4,0.02207459485224028
2018-04-27,1030.05,4,0.04244755992110916
2018-05-04,1048.21,4,-0.03999217118997922
2018-05-11,1098.26,4,0.0176302121256251
2018-05-18,1066.36,4,0.047748065750183644
2018-05-25,1075.66,4,-0.02904594540454908
2018-06-01,1119.5,4,0.008721257361491652
2018-06-08,1120.87,4,0.04075637283156386
2018-06-15,1152.26,4,0.0012237606074139151
2018-06-22,1155.48,4,0.02800503180565106
2018-06-29,1115.65,4,0.0027945081839169106
2018-07-06,1140.17,4,-0.03447052307266241
2018-07-13,1188.82,4,0.02197821897548513
2018-07-20,1184.91,4,0.04266907566415523
2018-07-27,1238.5,4,-0.0032889756228864364
2018-08-03,1223.71,4,0.045227063658843214
2018-08-10,1237.61,4,-0.011941865159467047
2018-08-17,1200.96,4,0.011358900393066973
2018-08-24,1220.65,4,-0.029613529302445762
2018-08-31,1218.19,4,0.01639521715960579
2018-09-07,1164.83,4,-0.0020153197067136475
2018-09-14,1172.53,4,-0.04380269087744948
2018-09-21,1166.09,4,0.00661040666878443
2018-09-28,1193.47,4,-0.005492396783024822
2018-10-05,1157.35,4,0.0234801773448019
2018-10-12,1110.08,4,-0.030264690356691104
2018-10-19,1096.46,4,-0.04084330582796902
2018-10-26,1071.47,4,-0.012269385990198778
2018-11-02,1057.79,4,-0.022791529102748842
2018-11-09,1066.15,4,-0.012767506323088873
2018-11-16,1061.49,4,0.007903270025241493
2018-11-23,1023.88,4,-0.00437086713877044
2018-11-30,1094.43,4,-0.03543132766205992
2018-12-07,1036.58,4,0.06890455912802285
2018-12-14,1042.1,4,-0.05285856564604419
2018-12-21,979.54,4,0.005325204036350284
2018-12-28,1037.08,4,-0.060032626427406144
2019-01-04,1070.71,4,0.05874185842334145
2019-01-11,1057.19,4,0.03242758514290123
2019-01-18,1098.26,4,-0.012627135265384615
2019-01-25,1090.99,4,0.03884826757725657
2019-02-01,1110.75,4,-0.006619561852384659
2019-02-08,1095.06,4,0.018111990027406266
2019-02-15,1113.65,4,-0.014125590817015587
2019-02-22,1110.37,4,0.016976238744909056
2019-03-01,1140.99,4,-0.0029452700579178925
2019-03-08,1142.32,4,0.02757639345443419
2019-03-15,1184.46,4,0.0011656543878559855
2019-03-22,1205.5,4,0.0368898382239653
2019-03-29,1173.31,4,0.017763368961383197
2019-04-05,1207.15,4,-0.02670261302364174
2019-04-12,1217.87,4,0.02884148264312092
2019-04-26,1272.18,4,0.008880420825912116
2019-05-03,1185.4,4,0.04459425061788225
2019-05-10,1164.27,4,-0.06821361756984068
2019-05-17,1162.3,4,-0.017825206681289063
2019-05-24,1133.47,4,-0.0016920473773265332
2019-05-31,1103.63,4,-0.024804267400843072
2019-06-07,1066.04,4,-0.026326237130228303
2019-06-14,1085.35,4,-0.034060328189701394
2019-06-21,1121.88,4,0.018113766838017353
2019-06-28,1080.91,4,0.033657345556733054
2019-07-05,1131.59,4,-0.03651905729668059
2019-07-12,1144.9,4,0.04688641977592933
2019-07-19,1130.1,4,0.011762210694686415
2019-07-26,1250.41,4,-0.012926893178443644
2019-08-02,1193.99,4,0.10645960534466004
2019-08-09,1188.01,4,-0.04512120024631927
2019-08-16,1177.6,4,-0.005008417155922595
2019-08-23,1151.29,4,-0.008762552503766896
2019-08-30,1188.1,4,-0.02234205163043479
2019-09-06,1204.93,4,0.031972830477116965
2019-09-13,1239.56,4,0.01416547428667636
2019-09-20,1229.93,4,0.028740258770219018
2019-09-27,1225.09,4,-0.007768885733647313
2019-10-04,1209.0,4,-0.003935183303114931
2019-10-11,1215.45,4,-0.013133728950526002
2019-10-18,1245.49,4,0.005334987593052176
2019-10-25,1265.13,4,0.02471512608498916
2019-11-01,1273.74,4,0.015768894170166137
2019-11-08,1311.37,4,0.006805624718408287
2019-11-15,1334.87,4,0.029542920847268617
2019-11-22,1295.34,4,0.017920190335298125
2019-11-29,1304.96,4,-0.029613370590394594
2019-12-06,1340.62,4,0.0074266215819784875
2019-12-13,1347.83,4,0.02732650809220205
2019-12-20,1349.59,4,0.005378108636302725
2019-12-27,1351.89,4,0.0013058026605730078
2020-01-03,1360.66,4,0.0017042212820190805
2020-01-10,1429.73,4,0.006487214196421398
2020-01-17,1480.39,4,0.05076213014272479
2020-01-24,1466.71,4,0.03543326362320154
2020-01-31,1434.23,4,-0.009240808165415948
2020-02-07,1479.23,4,-0.02214480026726484
2020-02-14,1520.74,4,0.031375720770029814
2020-02-21,1485.11,4,0.028061897068069275
2020-02-28,1339.33,4,-0.023429383063508613
2020-03-06,1298.41,4,-0.09816107897731485
2020-03-13,1219.73,4,-0.030552589727699586
2020-03-20,1072.32,4,-0.06059719195015445
2020-03-27,1110.71,4,-0.12085461536569575
2020-04-03,1097.88,4,0.03580088033422868
2020-04-17,1283.25,4,-0.011551169972359943
2020-04-24,1279.31,4,0.1688435894633291
2020-05-01,1320.61,4,-0.0030703292421586648
2020-05-08,1388.37,4,0.03228302756954915
2020-05-15,1373.19,4,0.05130962206858958
2020-05-22,1410.42,4,-0.010933684824650403
2020-05-29,1428.92,4,0.02711205295698349
2020-06-05,1438.39,4,0.013116660285588777
2020-06-12,1413.18,4,0.006627382918567903
2020-06-19,1431.72,4,-0.017526540089961684
2020-06-26,1359.9,4,0.013119347853776553
2020-07-10,1541.74,4,-0.050163439778727614
2020-07-17,1515.55,4,0.1337157143907639
2020-07-24,1511.87,4,-0.016987300063564525
2020-07-31,1482.96,4,-0.0024281613935535074
2020-08-07,1494.49,4,-0.019122014458915038
2020-08-14,1507.73,4,0.007774990559421768
2020-08-21,1580.42,4,0.008859209496216103
2020-08-28,1644.41,4,0.04821154981329556
2020-09-04,1591.04,4,0.04048923703825569
2020-09-11,1520.72,4,-0.032455409538983626
2020-09-18,1459.99,4,-0.044197506033789136
2020-09-25,1444.96,4,-0.03993503077489613
2020-10-02,1458.42,4,-0.010294591058842895
2020-10-09,1515.22,4,0.009315136751190334
2020-10-16,1573.01,4,0.03894625690816089
2020-10-23,1641.0,4,0.03813967608664082
2020-10-30,1621.01,4,0.04322286571604761
2020-11-06,1761.75,4,-0.012181596587446664
2020-11-13,1777.02,4,0.08682241318684025
2020-11-20,1742.19,4,0.008667518092805526
2020-11-27,1793.19,4,-0.019600229597866003
2020-12-04,1827.99,4,0.02927350059407985
2020-12-11,1781.77,4,0.019406755558529776
2020-12-18,1731.01,4,-0.02528460221336004
2021-01-08,1807.21,4,-0.028488525455025004
2021-01-15,1736.19,4,0.044020542920029326
2021-01-22,1901.05,4,-0.03929814465391401
2021-01-29,1835.74,4,0.09495504524274412
2021-02-05,2098.0,4,-0.034354698719128884
2021-02-12,2104.11,4,0.14286336845087
2021-02-19,2101.14,4,0.002912297426120203
2021-02-26,2036.86,4,-0.0014115231618120339
2021-03-05,2108.54,4,-0.030592916226429456
2021-03-12,2061.92,4,0.03519142209086534
2021-03-19,2043.2,4,-0.022110085651683153
