Date,HD,dayofweek,weekly_ret
2015-02-13,97.0101868891442,4,0.04424439762497623
2015-02-20,97.31364175920584,4,0.026137197358767406
2015-02-27,99.48984668450527,4,0.0031280722137811967
2015-03-06,99.2297425101667,4,0.0223627940128297
2015-03-13,100.07234662456705,4,-0.0026143790849672
2015-03-20,102.39940781153443,4,0.008491447151684595
2015-03-27,99.2356504674552,4,0.023253788538582176
2015-04-10,100.43840119330349,4,-0.03089624648906275
2015-04-17,97.70170751275008,4,0.012120147549622207
2015-04-24,99.09620110793655,4,-0.02724748351266948
2015-05-01,95.47923334542169,4,0.01427297056199861
2015-05-08,98.02418415663695,4,-0.03649956024626233
2015-05-15,98.7911556339895,4,0.026654495664080402
2015-05-22,97.75400102256958,4,0.007824308704543537
2015-05-29,97.10904773479588,4,-0.010498456109395704
