Date,MSFT,dayofweek,weekly_ret
2015-02-13,39.01793668894519,4,0.049752475247524464
2015-02-20,39.282049229182036,4,0.03442584296156581
2015-02-27,39.2775706008353,4,0.0067690032495151264
2015-03-06,37.942939353509324,4,-0.00011401208528127871
2015-03-13,37.065128197549946,4,-0.033979475484606225
2015-03-20,38.408716701569396,4,-0.02313503305004727
2015-03-27,36.697880673117965,4,0.03624939584340248
2015-04-10,37.369674925127676,4,-0.04454291044776115
2015-04-17,37.27562372984632,4,0.01830607761776859
2015-04-24,42.87838779160744,4,-0.002516778523489638
2015-05-01,43.581532442044285,4,0.15030637991108975
2015-05-08,42.77090071128588,4,0.016398579486108344
2015-05-15,43.259071201079614,4,-0.018600349398828486
2015-05-22,42.28324039731474,4,0.01141361256544493
2015-05-29,42.247177932157115,4,-0.022557830685475233
2015-06-05,41.59805355931988,4,-0.0008528784648188514
2015-06-12,41.44478808239997,4,-0.015364916773367376
2015-06-19,41.56199109416225,4,-0.003684438664933065
2015-06-26,40.804679325852135,4,0.0028279312595171913
2015-07-10,40.218664267040744,4,-0.01822125813449027
2015-07-17,42.030803141211365,4,-0.014361467079098356
2015-07-24,41.41774123353175,4,0.045057162071284296
2015-07-31,42.102928071526634,4,-0.014586014586014495
2015-08-07,42.138990536684254,4,0.016543317370483646
2015-08-14,42.373396560208796,4,0.0008565310492505418
2015-08-21,39.08491094301053,4,0.005562687205818984
2015-08-28,39.8653386980834,4,-0.07760731695240963
2015-09-04,38.66747284145991,4,0.019967494775945838
2015-09-11,39.45697533787085,4,-0.030047803323469013
2015-09-18,39.45697533787085,4,0.020417742314010834
2015-09-25,39.87441343942145,4,0.0
2015-10-02,41.35359627752471,4,0.010579576816927005
2015-10-09,42.751106443585456,4,0.03709604005462008
2015-10-16,43.11409609710771,4,0.033794162826421115
2015-10-23,47.97815745430614,4,0.00849076629165757
2015-10-30,47.769438403530856,4,0.11281835403073037
2015-11-06,49.83847942860779,4,-0.004350293171930697
2015-11-13,47.950933230291994,4,0.04331306990881445
2015-11-20,49.51023830794559,4,-0.037873270211216115
2015-11-27,49.27269149192666,4,0.032518763924046734
2015-12-04,51.08170186007082,4,-0.004797933198007032
2015-12-11,49.39146489993613,4,0.03671425922492122
2015-12-18,49.455419811941226,4,-0.03308889286353056
2016-01-08,47.81086493181017,4,0.0012948575656677175
2016-01-15,46.5865851877126,4,-0.03325327914280429
2016-01-22,47.77431926780724,4,-0.02560672654309204
2016-01-29,50.33251574801113,4,0.02549519513630094
2016-02-05,45.828262659652175,4,0.05354752342704194
2016-02-12,46.13890080367693,4,-0.08948992557632973
2016-02-19,47.67851833972446,4,0.006778309409888328
2016-02-26,47.20007701327412,4,0.03336918542118439
2016-03-04,47.87173502925247,4,-0.010034735623311475
2016-03-11,48.828617682153165,4,0.014230019493177037
2016-03-18,49.21505106120922,4,0.019988468191428188
2016-04-01,51.12881636701057,4,0.00791407574901104
2016-04-08,50.070724971976176,4,0.03888577304168961
2016-04-15,51.20242272492602,4,-0.020694619398956005
2016-04-22,47.64171516076674,4,0.022601984564498245
2016-04-29,45.88436336553568,4,-0.06954177897574132
2016-05-06,46.36280469198603,4,-0.036886828891463996
2016-05-13,46.997659529006675,4,0.010427110487267077
2016-05-20,46.90637292683446,4,0.013693193093867961
