Date,FB,dayofweek,weekly_ret
2014-04-11,58.53,4,-0.05434094317613736
2014-04-25,57.71,4,0.03138381293062453
2014-05-02,60.46,4,-0.014009909448146285
2014-05-09,57.24,4,0.04765205337029976
2014-05-16,58.0199,4,-0.05325835262983791
2014-05-23,61.351000000000006,4,0.013625087351502474
2014-05-30,63.3,4,0.057413060001827
2014-06-06,62.5,4,0.031768023341102625
2014-06-13,64.5,4,-0.012638230647709303
2014-06-20,64.5,4,0.03200000000000003
2014-06-27,67.6,4,0.0
2014-07-11,66.34,4,0.04806201550387579
2014-07-18,68.4199,4,-0.01863905325443771
2014-07-25,75.19,4,0.03135212541453103
2014-08-01,72.36,4,0.098949282299448
2014-08-08,73.06,4,-0.037637983774438055
2014-08-15,73.63,4,0.00967385295743517
2014-08-22,74.57,4,0.0078018067341909525
2014-08-29,74.82,4,0.012766535379600708
2014-09-05,77.26,4,0.0033525546466406375
2014-09-12,77.48,4,0.03261160117615636
2014-09-19,77.91,4,0.002847527828112817
2014-09-26,78.79,4,0.005549819308208415
2014-10-03,77.44,4,0.011295084071364592
2014-10-10,72.91,4,-0.017134154080467145
2014-10-17,75.95,4,-0.05849690082644632
2014-10-24,80.67,4,0.041695240707722014
2014-10-31,74.99,4,0.06214614878209357
2014-11-07,75.6,4,-0.07041031362340411
2014-11-14,74.88,4,0.00813441792238967
2014-11-21,73.75,4,-0.00952380952380949
2014-11-28,77.7,4,-0.015090811965811857
2014-12-05,76.36,4,0.05355932203389835
2014-12-12,77.83,4,-0.017245817245817308
2014-12-19,79.88,4,0.01925091671031942
2014-12-26,80.775,4,0.02633945779262481
2015-01-02,78.45,4,0.011204306459689617
2015-01-09,77.74,4,-0.028783658310120752
2015-01-16,75.18,4,-0.00905035054174641
2015-01-23,77.83,4,-0.032930280421919034
2015-01-30,75.91,4,0.035248736366054745
2015-02-06,74.47,4,-0.024669150713092614
2015-02-13,75.74,4,-0.01896983269661434
2015-02-20,79.895,4,0.017053847186786486
2015-02-27,78.97,4,0.054858727224716075
2015-03-06,80.005,4,-0.011577695725639825
2015-03-13,78.05,4,0.013106242877041874
2015-03-20,83.8,4,-0.02443597275170295
2015-03-27,83.3,4,0.07367072389493923
2015-04-10,82.04,4,-0.005966587112171795
2015-04-17,80.775,4,-0.015126050420168013
2015-04-24,81.53,4,-0.015419307654802594
2015-05-01,78.99,4,0.009346951408232718
2015-05-08,78.51,4,-0.031154176376793852
2015-05-15,80.42,4,-0.006076718571971007
2015-05-22,80.54,4,0.024328111068653735
2015-05-29,79.19,4,0.0014921661278288756
2015-06-05,82.14,4,-0.01676185746213077
2015-06-12,81.53,4,0.037252178305341666
2015-06-19,82.51,4,-0.007426345264183065
2015-06-26,88.01,4,0.01202011529498348
2015-07-10,87.95,4,0.066658586837959
2015-07-17,94.97,4,-0.0006817407112827967
2015-07-24,96.95,4,0.07981807845366684
2015-07-31,94.01,4,0.02084868905970305
2015-08-07,94.3,4,-0.030324909747292406
2015-08-14,94.42,4,0.0030847782150833503
2015-08-21,86.06,4,0.0012725344644750614
2015-08-28,91.01,4,-0.0885405634399492
2015-09-04,88.26,4,0.057518010690216226
2015-09-11,92.05,4,-0.030216459729699996
2015-09-18,94.4,4,0.04294130976659849
2015-09-25,92.77,4,0.025529603476371676
2015-10-02,92.07,4,-0.017266949152542455
2015-10-09,93.24,4,-0.0075455427401099895
2015-10-16,97.54,4,0.012707722385141729
2015-10-23,102.19,4,0.04611754611754626
2015-10-30,101.97,4,0.04767274964117285
2015-11-06,107.095,4,-0.0021528525296017342
2015-11-13,103.95,4,0.05025988035696782
2015-11-20,107.32,4,-0.029366450347822037
2015-11-27,105.45,4,0.03241943241943224
2015-12-04,106.18,4,-0.017424524785687567
2015-12-11,102.12,4,0.00692271218587015
2015-12-18,104.04,4,-0.03823695611226219
2016-01-08,97.33,4,0.018801410105757865
2016-01-15,94.97,4,-0.06449442522106885
2016-01-22,97.94,4,-0.024247405733073046
2016-01-29,112.21,4,0.03127303358955458
2016-02-05,104.07,4,0.14570144986726574
2016-02-12,102.01,4,-0.07254255413955979
2016-02-19,104.57,4,-0.019794369174593873
2016-02-26,107.92,4,0.02509557886481706
2016-03-04,108.39,4,0.03203595677536586
2016-03-11,109.41,4,0.004355077835433541
2016-03-18,111.45,4,0.00941046221976194
2016-04-01,116.06,4,0.018645462023581194
2016-04-08,110.63,4,0.041363840287124365
2016-04-15,109.64,4,-0.04678614509736345
2016-04-22,110.56,4,-0.008948748079182778
2016-04-29,117.58,4,0.008391098139365116
2016-05-06,119.49,4,0.06349493487698976
2016-05-13,119.81,4,0.01624425922775985
2016-05-20,117.35,4,0.0026780483722488313
2016-05-27,119.38,4,-0.020532509807194788
2016-06-03,118.47,4,0.01729867916489125
2016-06-10,116.62,4,-0.007622717373094279
2016-06-17,113.02,4,-0.015615767704904138
2016-06-24,112.08,4,-0.030869490653404275
2016-07-01,114.19,4,-0.008317112015572392
2016-07-08,117.24,4,0.01882583868665244
2016-07-15,116.86,4,0.026709869515719298
2016-07-22,121.0,4,-0.003241214602524689
2016-07-29,123.94,4,0.03542700667465337
2016-08-05,125.15,4,0.02429752066115709
2016-08-12,124.88,4,0.009762788446022297
2016-08-19,123.56,4,-0.0021574111066721136
2016-08-26,124.96,4,-0.010570147341447789
2016-09-02,126.51,4,0.011330527678860447
2016-09-09,127.1,4,0.012403969270166515
2016-09-16,129.07,4,0.0046636629515453
2016-09-23,127.96,4,0.015499606608969207
2016-09-30,128.27,4,-0.008599984504532365
2016-10-07,128.99,4,0.00242263207252269
2016-10-14,127.88,4,0.005613159741171048
2016-10-21,132.07,4,-0.00860531824172428
2016-10-28,131.29,4,0.03276509227400681
2016-11-04,120.75,4,-0.005905958961156976
2016-11-11,119.02,4,-0.08028029552898164
2016-11-18,117.02,4,-0.014327122153209193
2016-11-25,120.38,4,-0.016803898504453074
2016-12-02,115.4,4,0.028713040505896403
2016-12-09,119.68,4,-0.041368998172453764
2016-12-16,119.87,4,0.03708838821490468
2016-12-23,117.27,4,0.0015875668449196745
2016-12-30,115.05,4,-0.02169016434470683
2017-01-06,123.41,4,-0.018930672806344306
2017-01-13,128.34,4,0.07266405910473717
2017-01-20,127.04,4,0.0399481403451909
2017-01-27,132.18,4,-0.010129343930185386
2017-02-03,130.98,4,0.0404596977329974
2017-02-10,134.19,4,-0.00907852927825703
2017-02-17,133.53,4,0.024507558405863605
2017-02-24,135.44,4,-0.004918399284596475
2017-03-03,137.17,4,0.01430390174492624
2017-03-10,138.79,4,0.012773183697578183
2017-03-17,139.84,4,0.011810162571991079
2017-03-24,140.34,4,0.007565386555227427
2017-03-31,142.05,4,0.003575514874141872
2017-04-07,140.78,4,0.012184694313809308
2017-04-21,143.68,4,-0.008940513903555103
2017-04-28,150.25,4,0.02059951697684337
2017-05-05,150.24,4,0.04572661469933181
2017-05-12,150.33,4,-6.655574043257229e-05
2017-05-19,148.06,4,0.0005990415335463961
2017-05-26,152.13,4,-0.015100113084547395
2017-06-02,153.61,4,0.0274888558692421
2017-06-09,149.6,4,0.009728521659107425
2017-06-16,150.64,4,-0.026105071284421744
2017-06-23,155.07,4,0.006951871657753905
2017-06-30,150.98,4,0.02940785979819438
2017-07-07,151.44,4,-0.026375185400141943
2017-07-14,159.97,4,0.0030467611604185763
2017-07-21,164.43,4,0.05632593766508198
2017-07-28,172.45,4,0.027880227542664393
2017-08-04,169.62,4,0.04877455452168089
2017-08-11,168.08,4,-0.016410553783705373
2017-08-18,167.41,4,-0.009079118028534339
2017-08-25,166.32,4,-0.003986197049024365
2017-09-01,172.02,4,-0.006510961113434077
2017-09-08,170.95,4,0.03427128427128445
2017-09-15,171.64,4,-0.006220206952679996
2017-09-22,170.54,4,0.004036267914594882
2017-09-29,170.87,4,-0.006408762526217582
2017-10-06,172.23,4,0.0019350299050076014
2017-10-13,173.74,4,0.00795926727921814
2017-10-20,174.98,4,0.008767345990826403
2017-10-27,177.88,4,0.007137101415908731
2017-11-03,178.92,4,0.01657332266544742
2017-11-10,178.46,4,0.00584663818304465
2017-11-17,179.0,4,-0.0025709814442207435
2017-11-24,182.78,4,0.003025888154208234
2017-12-01,175.1,4,0.021117318435754262
2017-12-08,179.0,4,-0.042017726228252616
2017-12-15,180.18,4,0.022272986864648736
2017-12-22,177.2,4,0.006592178770949753
2017-12-29,176.46,4,-0.016539016539016682
2018-01-05,186.85,4,-0.0041760722347629065
2018-01-12,179.37,4,0.05888019947863521
2018-01-19,181.29,4,-0.040032111319240005
2018-01-26,190.0,4,0.010704131125606198
2018-02-02,190.28,4,0.04804456947432301
2018-02-09,176.11,4,0.0014736842105262937
2018-02-16,177.36,4,-0.07446920327937767
2018-02-23,183.29,4,0.007097836579410544
2018-03-02,176.62,4,0.03343482183130342
2018-03-09,185.23,4,-0.03639041955371258
2018-03-16,185.09,4,0.0487487260785866
2018-03-23,159.39,4,-0.0007558170922635776
2018-04-06,157.2,4,-0.13885136960397648
2018-04-13,164.52,4,-0.013739883305100675
2018-04-20,166.28,4,0.04656488549618332
2018-04-27,173.59,4,0.01069778750303918
2018-05-04,176.61,4,0.04396199182102478
2018-05-11,186.99,4,0.01739731551356649
2018-05-18,182.68,4,0.05877356888058438
2018-05-25,184.92,4,-0.023049360928391938
2018-06-01,193.99,4,0.01226187869498574
2018-06-08,189.1,4,0.04904823707549233
2018-06-15,195.85,4,-0.025207484921903278
2018-06-22,201.74,4,0.03569539925965093
2018-06-29,194.32,4,0.030074036252234038
2018-07-06,203.23,4,-0.03678001387925056
2018-07-13,207.32,4,0.045852202552490784
2018-07-20,209.94,4,0.0201249815479998
2018-07-27,174.89,4,0.012637468647501482
2018-08-03,177.78,4,-0.16695246260836438
2018-08-10,180.26,4,0.016524672651381023
2018-08-17,173.8,4,0.013949825627179502
2018-08-24,174.645,4,-0.035837124153999644
2018-08-31,175.73,4,0.004861910241657164
2018-09-07,163.04,4,0.0062126027083511115
2018-09-14,162.32,4,-0.07221305411711143
2018-09-21,162.93,4,-0.004416094210009769
2018-09-28,164.46,4,0.003758008871365348
2018-10-05,157.33,4,0.009390535812925815
2018-10-12,153.74,4,-0.04335400705338677
2018-10-19,154.05,4,-0.022818280048306105
2018-10-26,145.37,4,0.002016391310003973
2018-11-02,150.35,4,-0.056345342421291855
