Date,PM,dayofweek,weekly_ret
2015-02-06,58.994512082843286,4,-0.031151895677372643
2015-02-13,60.15596427101296,4,0.012836490528414846
2015-02-20,60.27936856600599,4,0.019687461547926777
2015-02-27,60.2212959565975,4,0.0020514058163387805
2015-03-06,58.10890478936391,4,-0.0009633911368016612
2015-03-13,56.366726507109405,4,-0.03507714561234332
2015-03-20,57.67336021880029,4,-0.02998126171143034
2015-03-27,56.46142500866998,4,0.02318094011590488
2015-04-10,57.2775753115691,4,-0.021013778381084314
2015-04-17,62.689166509170505,4,0.01445500716239101
2015-04-24,60.84363744585806,4,0.09448010269576401
2015-05-01,61.31421059347557,4,-0.029439361951677512
2015-05-08,62.63769757114983,4,0.007734138972809612
2015-05-15,63.65237092070009,4,0.021585321981052896
2015-05-22,61.87301620627137,4,0.0161990843995774
2015-05-29,61.07892401966682,4,-0.027954256670902122
2015-06-05,58.60106228924335,4,-0.012834224598930466
2015-06-12,60.18924666245246,4,-0.04056819549777302
2015-06-19,60.777463096974344,4,0.02710163111668762
2015-06-26,60.54943885611147,4,0.009772782799902124
2015-07-10,61.15232816740159,4,-0.0037517893844802863
2015-07-17,63.88393776299997,4,0.009956976029502407
2015-07-24,63.005654568774894,4,0.04466893865628019
2015-07-31,63.660645425485114,4,-0.013748106722590858
2015-08-07,63.333149997130015,4,0.01039574719432923
2015-08-14,62.715374530005576,4,-0.005144393779959899
2015-08-21,60.2740449731765,4,-0.009754377717710816
2015-08-28,59.80513106439528,4,-0.03892713031094219
2015-09-04,57.52754922174378,4,-0.007779698691035231
2015-09-11,59.15014020768506,4,-0.03808338518979437
2015-09-18,60.45267884318837,4,0.02820545995600976
2015-09-25,59.99120801232434,4,0.02202088838555416
2015-10-02,60.27660774629789,4,-0.007633587786259444
2015-10-09,63.382794411898224,4,0.004757359343637857
2015-10-16,66.17987026854321,4,0.0515322076297684
2015-10-23,67.57463855285403,4,0.044129891756869544
2015-10-30,66.6473061259879,4,0.021075415812257692
