Date,PYPL,dayofweek,weekly_ret
2020-07-31,196.07,4,-0.007819687212511361
2020-08-07,198.63,4,0.13624246638850246
2020-08-14,191.46,4,0.013056561432141622
2020-08-21,196.79,4,-0.03609726627397669
2020-08-28,204.48,4,0.027838713047111607
2020-09-04,191.84,4,0.039077188881548874
2020-09-11,184.0,4,-0.06181533646322368
2020-09-18,176.07,4,-0.04086738949124269
2020-09-25,187.25,4,-0.04309782608695656
2020-10-02,191.91,4,0.06349747259612659
2020-10-09,197.27,4,0.02488651535380515
2020-10-16,204.45,4,0.027929758741076727
2020-10-23,203.04,4,0.03639681654585081
2020-10-30,186.13,4,-0.006896551724137945
2020-11-06,202.73,4,-0.08328408195429471
2020-11-13,188.62,4,0.08918497824101435
2020-11-20,192.67,4,-0.06959996053864737
2020-11-27,211.39,4,0.02147174212702785
2020-12-04,217.77,4,0.09716094877251269
2020-12-11,214.06,4,0.030181181702067406
2020-12-18,236.45,4,-0.01703632272581168
2021-01-08,242.46,4,0.10459684200691388
2021-01-15,239.79,4,0.025417635863819177
2021-01-22,252.0,4,-0.011012125711457599
2021-01-29,234.31,4,0.05091955461028408
2021-02-05,269.44,4,-0.07019841269841265
2021-02-12,298.37,4,0.14992958047031713
2021-02-19,286.92,4,0.10737084323040391
2021-02-26,259.85,4,-0.03837517176659844
2021-03-05,239.05,4,-0.09434685626655515
2021-03-12,250.35,4,-0.08004618048874357
2021-03-19,241.28,4,0.04727044551349091
