Date,PG,dayofweek,weekly_ret
2014-09-12,68.41125076506411,4,0.007941282637468294
2014-09-19,69.40545702768394,4,-0.006088098364569361
2014-09-26,69.49583941519482,4,0.014532788854191514
2014-10-03,68.84672954125296,4,0.0013022374807623027
2014-10-10,69.58622180270572,4,-0.009340269567273407
2014-10-17,68.4194673457469,4,0.01074113856068748
2014-10-24,70.50705902361895,4,-0.016767032707521667
2014-10-31,72.25400470868044,4,0.03051166223383084
2014-11-07,73.79396630783417,4,0.02477689055894805
2014-11-14,72.94947123733051,4,0.021313166036438735
2014-11-21,73.35516004570971,4,-0.011443958263210985
2014-11-28,74.87028355455452,4,0.005561230280331175
2014-12-05,74.82888673737295,4,0.020654627539503645
2014-12-12,74.14169957215921,4,-0.0005529138560214086
2014-12-19,76.21154043123678,4,-0.009183447665412459
2014-12-26,77.37893067575655,4,0.027917364600781536
2015-01-02,74.8785629179908,4,0.015317762085822917
2015-01-09,74.72125501270092,4,-0.032313289107639864
2015-01-16,75.54919135633195,4,-0.0021008403361342243
2015-01-23,75.10954819684228,4,0.011080332409972193
2015-01-30,70.28179193507812,4,-0.005819296693938991
2015-02-06,71.38242030563575,4,-0.06427619893428049
