Date,BMY,dayofweek,weekly_ret
2015-02-06,50.48195977544782,4,-0.028999516674722114
2015-02-13,50.79498684293426,4,-0.009955201592832363
2015-02-20,51.20107601156531,4,0.006200770906653386
2015-02-27,51.539483652091185,4,0.00799467021985345
2015-03-06,55.0927638776129,4,0.006609385327164485
2015-03-13,56.573297304913616,4,0.06894287590282344
2015-03-20,57.3262543050837,4,0.026873464373464273
2015-03-27,55.21120655179697,4,0.013309406310752392
2015-04-10,55.00502067566409,4,-0.03689492325855959
2015-04-17,55.6091909213281,4,-0.0037344932127039154
2015-04-24,55.992115724917966,4,0.010983910891089188
2015-05-01,55.02203955582363,4,0.006885998469778221
2015-05-08,56.95368245393252,4,-0.01732522796352598
2015-05-15,57.557852699596516,4,0.03510671203216864
2015-05-22,58.11947574486165,4,0.010608098012848899
