Date,CRM,dayofweek,weekly_ret
2017-05-12,89.04,4,0.009869948908499682
2017-05-19,87.4,4,0.02380131079682668
2017-05-26,90.83,4,-0.018418688230009028
2017-06-02,90.86,4,0.03924485125858124
2017-06-09,87.27,4,0.000330287349994407
2017-06-16,86.0,4,-0.0395113361215057
2017-06-23,88.62,4,-0.014552538100148893
2017-06-30,86.6,4,0.030465116279069893
2017-07-07,87.92,4,-0.022793951703904414
2017-07-14,90.0,4,0.015242494226328063
2017-07-21,89.69,4,0.023657870791628843
2017-07-28,90.62,4,-0.003444444444444472
2017-08-04,90.45,4,0.010369048946370807
2017-08-11,88.29,4,-0.001875965570514282
2017-08-18,90.76,4,-0.023880597014925287
2017-08-25,94.1,4,0.027975988220636516
2017-09-01,96.01,4,0.03680035257822811
2017-09-08,96.43,4,0.020297555791711108
2017-09-15,94.63,4,0.004374544318300089
2017-09-22,94.94,4,-0.018666390127553778
2017-09-29,93.42,4,0.003275916728310291
2017-10-06,96.32,4,-0.016010111649462755
2017-10-13,96.94,4,0.03104260329693842
2017-10-20,98.9,4,0.006436877076412051
2017-10-27,100.7,4,0.02021869197441717
2017-11-03,102.71,4,0.018200202224469164
2017-11-10,105.24,4,0.019960278053624547
2017-11-17,107.58,4,0.02463246032518751
2017-11-24,107.15,4,0.022234891676168766
2017-12-01,103.83,4,-0.003997025469418047
2017-12-08,103.44,4,-0.03098460102659828
2017-12-15,105.48,4,-0.0037561398439757143
2017-12-22,102.63,4,0.019721577726218076
2017-12-29,102.23,4,-0.027019340159271987
2018-01-05,108.1,4,-0.003897495858910527
2018-01-12,110.24,4,0.05741954416511774
2018-01-19,111.93,4,0.019796484736355202
2018-01-26,113.7,4,0.015330188679245405
2018-02-02,110.78,4,0.01581345483784502
2018-02-09,106.98,4,-0.02568161829375548
2018-02-16,112.86,4,-0.03430222061743993
2018-02-23,114.96,4,0.054963544587773416
2018-03-02,121.92,4,0.018607123870281628
2018-03-09,127.41,4,0.060542797494780975
2018-03-16,125.97,4,0.045029527559055094
2018-03-23,114.43,4,-0.011302095596891881
2018-04-06,116.1,4,-0.09160911328093979
2018-04-13,119.01,4,0.014594074980337268
2018-04-20,122.82,4,0.025064599483204164
2018-04-27,120.22,4,0.032014116460801434
2018-05-04,125.12,4,-0.021169190685556005
2018-05-11,130.63,4,0.04075860921643648
2018-05-18,126.96,4,0.04403772378516613
2018-05-25,127.96,4,-0.02809461838781291
2018-06-01,130.52,4,0.007876496534341415
2018-06-08,133.53,4,0.02000625195373562
2018-06-15,138.41,4,0.02306159975482669
2018-06-22,135.01,4,0.03654609451059687
2018-06-29,136.4,4,-0.024564699082436303
2018-07-06,141.4,4,0.01029553366417324
2018-07-13,147.61,4,0.03665689149560114
2018-07-20,146.87,4,0.04391796322489405
2018-07-27,143.91,4,-0.005013210487094466
2018-08-03,141.04,4,-0.020153877578811263
2018-08-10,145.51,4,-0.019943019943019946
2018-08-17,145.02,4,0.03169313669880891
2018-08-24,152.3,4,-0.0033674661535287864
2018-08-31,152.68,4,0.05019997241759766
2018-09-07,150.43,4,0.0024950755088639642
2018-09-14,157.49,4,-0.01473670421797224
2018-09-21,155.52,4,0.04693212790001988
2018-09-28,159.03,4,-0.012508730713061134
2018-10-05,155.07,4,0.02256944444444442
2018-10-12,146.74,4,-0.024900962082625933
2018-10-19,140.49,4,-0.05371767588830845
2018-10-26,135.52,4,-0.042592340193539635
2018-11-02,136.79,4,-0.035376183358246105
2018-11-09,136.92,4,0.009371310507674036
2018-11-16,132.55,4,0.0009503618685575699
2018-11-23,122.03,4,-0.03191644756061918
2018-11-30,142.76,4,-0.07936627687665043
2018-12-07,135.95,4,0.16987625993608124
2018-12-14,137.04,4,-0.04770243765760718
2018-12-21,122.91,4,0.008017653549099002
2018-12-28,134.68,4,-0.10310858143607704
2019-01-04,137.96,4,0.09576112602717446
2019-01-11,147.55,4,0.02435402435402434
2019-01-18,152.51,4,0.06951290229051899
2019-01-25,149.74,4,0.033615723483564786
2019-02-01,155.87,4,-0.018162743426660466
2019-02-08,156.67,4,0.040937625217042806
2019-02-15,159.05,4,0.005132482196702259
2019-02-22,161.31,4,0.015191166145401391
2019-03-01,164.53,4,0.014209368123231592
2019-03-08,155.06,4,0.019961564689107814
2019-03-15,161.51,4,-0.05755789217771834
2019-03-22,161.5,4,0.041596801238230396
2019-03-29,158.37,4,-6.19156708562274e-05
2019-04-05,158.56,4,-0.019380804953560316
2019-04-12,160.71,4,0.001199722169602735
2019-04-26,165.96,4,0.013559535822401658
2019-05-03,163.34,4,0.03266753780100795
2019-05-10,159.94,4,-0.01578693661123165
2019-05-17,154.57,4,-0.020815476919309406
2019-05-24,154.51,4,-0.03357509065899711
2019-05-31,151.41,4,-0.0003881736430096927
2019-06-07,161.27,4,-0.020063426315448774
2019-06-14,150.01,4,0.06512119410871153
2019-06-21,156.84,4,-0.06982079742047509
2019-06-28,151.73,4,0.04553029798013464
2019-07-05,154.58,4,-0.03258097424126505
2019-07-12,158.08,4,0.01878336518816326
2019-07-19,156.75,4,0.02264199767110875
2019-07-26,159.97,4,-0.008413461538461564
2019-08-02,145.7,4,0.020542264752791084
2019-08-09,143.37,4,-0.08920422579233611
2019-08-16,143.89,4,-0.015991763898421274
2019-08-23,151.57,4,0.0036269791448697575
2019-08-30,156.07,4,0.05337410521926467
2019-09-06,151.07,4,0.029689252490598506
2019-09-13,152.98,4,-0.03203690651630675
2019-09-20,155.2,4,0.01264314556166024
2019-09-27,148.26,4,0.014511700875931455
2019-10-04,148.03,4,-0.04471649484536078
2019-10-11,149.37,4,-0.001551328746796088
2019-10-18,144.09,4,0.009052219144767948
2019-10-25,150.49,4,-0.035348463546897024
2019-11-01,159.74,4,0.044416684016933994
2019-11-08,161.11,4,0.061465878131437224
2019-11-15,163.21,4,0.008576436709653246
2019-11-22,162.81,4,0.013034572652225185
2019-11-29,162.89,4,-0.0024508302187365993
2019-12-06,158.01,4,0.0004913703089490795
2019-12-13,161.13,4,-0.029958867947694756
2019-12-20,164.55,4,0.019745585722422687
2019-12-27,164.98,4,0.02122509774716086
2020-01-03,166.17,4,0.002613187481008694
2020-01-10,180.2,4,0.007212995514607856
2020-01-17,182.23,4,0.08443160618643564
2020-01-24,182.11,4,0.011265260821309742
2020-01-31,182.31,4,-0.0006585084782965156
2020-02-07,185.72,4,0.0010982373290866487
2020-02-14,189.95,4,0.01870440458559597
2020-02-21,189.5,4,0.022776222270084023
2020-02-28,170.4,4,-0.002369044485390881
2020-03-06,164.08,4,-0.10079155672823215
2020-03-13,147.78,4,-0.037089201877934186
2020-03-20,139.35,4,-0.09934178449536812
2020-03-27,146.0,4,-0.05704425497360943
2020-04-03,134.31,4,0.04772156440617148
2020-04-17,162.62,4,-0.08006849315068487
2020-04-24,153.98,4,0.21078102896284712
2020-05-01,156.37,4,-0.05312999631041704
2020-05-08,175.9,4,0.015521496298220638
2020-05-15,171.33,4,0.12489607981070527
2020-05-22,177.85,4,-0.025980670835702102
2020-05-29,174.79,4,0.03805521508200527
2020-06-05,173.88,4,-0.017205510261456336
2020-06-12,175.11,4,-0.005206247496996386
2020-06-19,186.95,4,0.007073844030365928
2020-06-26,183.17,4,0.06761464222488711
2020-07-10,198.88,4,-0.020219309975929356
2020-07-17,187.78,4,0.08576731997597875
2020-07-24,188.49,4,-0.055812550281576834
2020-07-31,194.85,4,0.0037810203429544664
2020-08-07,201.05,4,0.03374184306859762
2020-08-14,193.46,4,0.03181934821657695
2020-08-21,207.53,4,-0.03775180303407111
2020-08-28,271.1,4,0.07272821255039807
2020-09-04,254.7,4,0.3063171589649689
2020-09-11,243.1,4,-0.06049428255256373
2020-09-18,242.78,4,-0.0455437769925402
2020-09-25,242.74,4,-0.0013163307280954495
2020-10-02,247.85,4,-0.00016475821731609663
2020-10-09,265.98,4,0.02105133064183895
2020-10-16,258.55,4,0.0731490821061127
2020-10-23,250.52,4,-0.02793443116023764
2020-10-30,232.27,4,-0.031057822471475593
2020-11-06,260.15,4,-0.07284847517164295
2020-11-13,249.51,4,0.12003272054074987
2020-11-20,258.04,4,-0.040899481068614185
2020-11-27,247.63,4,0.03418700653280449
2020-12-04,225.86,4,-0.040342582545341954
2020-12-11,222.42,4,-0.08791341921415008
2020-12-18,227.43,4,-0.015230673868768418
2021-01-08,222.04,4,0.022524952792015274
2021-01-15,213.14,4,-0.023699599876885302
2021-01-22,225.77,4,-0.04008286795172045
2021-01-29,225.56,4,0.05925682649901476
2021-02-05,238.89,4,-0.0009301501528103939
2021-02-12,240.37,4,0.0590973576875331
2021-02-19,246.56,4,0.006195320021767481
2021-02-26,216.5,4,0.025751965719515768
2021-03-05,210.76,4,-0.12191758598312785
2021-03-12,212.21,4,-0.026512702078521966
2021-03-19,212.2,4,0.0068798633516797825
