Date,GOOGL,dayofweek,weekly_ret
2018-07-13,1204.42,4,0.022927939496452998
2018-07-20,1197.88,4,0.042715656058454954
2018-07-27,1252.89,4,-0.00542999950183487
2018-08-03,1238.16,4,0.04592279694126278
2018-08-10,1252.51,4,-0.011756818236237865
2018-08-17,1215.85,4,0.01158977838082298
2018-08-24,1236.75,4,-0.029269227391398145
2018-08-31,1231.8,4,0.01718962043015182
2018-09-07,1177.59,4,-0.004002425712553048
2018-09-14,1177.98,4,-0.04400876765708717
2018-09-21,1172.12,4,0.00033118487758909687
2018-09-28,1207.08,4,-0.0049746175656633085
2018-10-05,1167.83,4,0.029826297648704925
2018-10-12,1120.54,4,-0.03251648606554658
2018-10-19,1105.18,4,-0.04049390750366055
2018-10-26,1083.75,4,-0.013707676655898005
2018-11-02,1071.49,4,-0.019390506523824236
2018-11-09,1077.02,4,-0.011312572087658568
2018-11-16,1068.27,4,0.005161037433853766
2018-11-23,1030.1,4,-0.008124268815806523
2018-11-30,1109.65,4,-0.035730667340653666
2018-12-07,1046.58,4,0.07722551208620532
2018-12-14,1051.71,4,-0.05683774163024391
2018-12-21,991.25,4,0.004901679756922572
2018-12-28,1046.68,4,-0.05748733015755292
2019-01-04,1078.07,4,0.05591929382093319
2019-01-11,1064.47,4,0.029990063820843016
2019-01-18,1107.3,4,-0.012615136308402941
2019-01-25,1101.51,4,0.04023598598363498
2019-02-01,1118.62,4,-0.005228935247900246
2019-02-08,1102.38,4,0.015533222576281647
2019-02-15,1119.63,4,-0.014517888112137944
2019-02-22,1116.56,4,0.015647961682904166
2019-03-01,1148.52,4,-0.0027419772603450854
2019-03-08,1149.97,4,0.028623629719853882
2019-03-15,1190.3,4,0.001262494340542597
2019-03-22,1207.65,4,0.03507048009948077
2019-03-29,1176.89,4,0.014576157271276369
2019-04-05,1211.45,4,-0.02547095598890403
2019-04-12,1222.73,4,0.029365531188131344
2019-04-26,1277.42,4,0.009311156052664193
2019-05-03,1189.55,4,0.04472778127632426
2019-05-10,1167.64,4,-0.06878708647116849
2019-05-17,1168.78,4,-0.018418729771762288
2019-05-24,1138.61,4,0.0009763283203725326
2019-05-31,1106.5,4,-0.02581324115744632
2019-06-07,1068.37,4,-0.028201052160089835
2019-06-14,1086.3,4,-0.03446000903750579
2019-06-21,1125.37,4,0.016782575325027915
2019-06-28,1082.8,4,0.03596612353861728
2019-07-05,1132.66,4,-0.03782755893617207
2019-07-12,1145.34,4,0.04604728481714093
2019-07-19,1131.55,4,0.011194886373668833
2019-07-26,1245.22,4,-0.012040092898178645
2019-08-02,1196.32,4,0.10045512792187705
2019-08-09,1188.9,4,-0.03927016912674075
2019-08-16,1179.21,4,-0.006202353885247924
2019-08-23,1153.58,4,-0.008150391117840106
2019-08-30,1190.53,4,-0.021734890307918087
2019-09-06,1206.32,4,0.032030721753151026
2019-09-13,1240.03,4,0.013263000512376832
2019-09-20,1229.84,4,0.02794449234034091
2019-09-27,1225.95,4,-0.008217543123956728
2019-10-04,1210.96,4,-0.0031630130748714347
2019-10-11,1215.71,4,-0.012227252334923944
2019-10-18,1244.41,4,0.003922507762436522
2019-10-25,1264.3,4,0.023607603787087372
2019-11-01,1272.25,4,0.01598347811412637
2019-11-08,1309.0,4,0.0062880645416436565
2019-11-15,1333.54,4,0.028885832187070193
