Date,AMZN,dayofweek,weekly_ret
2016-07-29,758.81,4,0.012808658762101466
2016-08-05,765.98,4,0.018728351636549068
2016-08-12,772.56,4,0.009449005679946332
2016-08-19,757.31,4,0.008590302618867174
2016-08-26,769.0,4,-0.019739567153360227
2016-09-02,772.44,4,0.015436215024230648
2016-09-09,760.14,4,0.004473342002600855
2016-09-16,778.52,4,-0.015923566878981
2016-09-23,805.75,4,0.02417975636067049
2016-09-30,837.31,4,0.034976622308996674
2016-10-07,839.43,4,0.03916847657461986
2016-10-14,822.96,4,0.0025319176887890205
2016-10-21,818.99,4,-0.01962045673850099
2016-10-28,776.32,4,-0.004824049771556371
2016-11-04,755.05,4,-0.052100758251016455
2016-11-11,739.01,4,-0.02739849546578743
2016-11-18,760.16,4,-0.021243626249917158
2016-11-25,780.37,4,0.028619369156033025
2016-12-02,740.34,4,0.026586508103557227
2016-12-09,768.66,4,-0.05129618001717129
2016-12-16,757.77,4,0.038252694707836765
2016-12-23,760.59,4,-0.014167512294122275
2016-12-30,749.87,4,0.0037214458212915247
2017-01-06,795.99,4,-0.014094321513561825
2017-01-13,817.14,4,0.061503994025631226
2017-01-20,808.33,4,0.026570685561376317
2017-01-27,835.77,4,-0.010781506229042725
2017-02-03,810.2,4,0.03394653173827522
2017-02-10,827.46,4,-0.03059454156047714
2017-02-17,845.07,4,0.021303381881017103
2017-02-24,845.24,4,0.02128199550431442
2017-03-03,849.88,4,0.00020116676724990512
2017-03-10,852.46,4,0.0054895650939377205
2017-03-17,852.31,4,0.003035722690262199
2017-03-24,845.61,4,-0.0001759613354292977
2017-03-31,886.54,4,-0.007860989546057073
2017-04-07,894.88,4,0.04840292806376456
2017-04-21,898.53,4,0.009407358946014854
2017-04-28,924.99,4,0.004078759163239631
2017-05-05,934.15,4,0.02944809856098307
2017-05-12,961.35,4,0.009902809760105491
2017-05-19,959.84,4,0.0291173794358508
2017-05-26,995.78,4,-0.00157070785874025
2017-06-02,1006.73,4,0.03744374062343714
2017-06-09,978.31,4,0.010996404828375717
2017-06-16,987.71,4,-0.02823001201911146
2017-06-23,1003.74,4,0.009608406333371011
2017-06-30,968.0,4,0.016229460064188794
2017-07-07,978.76,4,-0.03560683045410162
2017-07-14,1001.81,4,0.011115702479338907
2017-07-21,1025.67,4,0.02355020638358729
2017-07-28,1020.04,4,0.023816891426518216
2017-08-04,987.58,4,-0.0054890949330682615
2017-08-11,967.99,4,-0.031822281479157555
2017-08-18,958.47,4,-0.01983636768666841
2017-08-25,945.26,4,-0.009834812343102683
2017-09-01,978.25,4,-0.013782382338518695
2017-09-08,965.9,4,0.03490045066965708
2017-09-15,986.79,4,-0.012624584717607967
2017-09-22,955.1,4,0.021627497670566376
2017-09-29,961.35,4,-0.03211422896462257
2017-10-06,989.58,4,0.006543817401319263
2017-10-13,1002.94,4,0.029364955531284043
2017-10-20,982.91,4,0.013500677054912202
2017-10-27,1100.95,4,-0.019971284423794144
2017-11-03,1111.6,4,0.12009237875288692
2017-11-10,1125.35,4,0.009673463826695095
2017-11-17,1129.88,4,0.012369557394746211
2017-11-24,1186.0,4,0.004025414315546483
2017-12-01,1162.35,4,0.04966899139731651
2017-12-08,1162.0,4,-0.01994097807757178
2017-12-15,1179.14,4,-0.0003011141222523106
2017-12-22,1168.36,4,0.014750430292599148
2017-12-29,1169.47,4,-0.00914225622063558
2018-01-05,1229.14,4,0.0009500496422336635
2018-01-12,1305.2,4,0.051023113034109446
2018-01-19,1294.58,4,0.061880664529671
2018-01-26,1402.05,4,-0.008136684033098418
2018-02-02,1429.95,4,0.08301534088275742
2018-02-09,1339.6,4,0.019899432973146558
2018-02-16,1448.69,4,-0.063184027413546
2018-02-23,1500.0,4,0.08143475664377431
