Date,CVX,dayofweek,weekly_ret
2015-02-06,83.46371385612636,4,-0.04043051006083298
2015-02-13,86.70641847240034,4,0.06905296010923645
2015-02-20,83.49279168383292,4,0.038851669383700216
2015-02-27,82.01667602975412,4,-0.03706330909735778
2015-03-06,79.61029998951105,4,-0.01767955801104948
2015-03-13,78.12649623306723,4,-0.02934008248968889
2015-03-20,82.2857596125289,4,-0.018638338966682877
2015-03-27,80.17153146215558,4,0.05323755166305877
2015-04-10,82.19350238414897,4,-0.025693730729702158
2015-04-17,83.88488490444762,4,0.025220560030686734
2015-04-24,84.46918068418715,4,0.020578056309044968
2015-05-01,83.83106818789267,4,0.0069654477133169745
2015-05-08,83.5312321956579,4,-0.007554382451988695
2015-05-15,83.87719680208262,4,-0.0035766691122524064
2015-05-22,81.43922218430478,4,0.004141739530602706
