Date,JPM,dayofweek,weekly_ret
2015-02-13,50.43500413920066,4,0.06454578889297546
2015-02-20,50.54488432251046,4,0.030747970288478088
2015-02-27,51.795827947883645,4,0.002178649237472685
2015-03-06,51.466187397954215,4,0.024749163879598912
2015-03-13,51.5591629376779,4,-0.006364229765013274
2015-03-20,52.19308707215754,4,0.0018065363770733978
2015-03-27,50.333576277683925,4,0.012295081967212962
2015-04-10,52.49878760139535,4,-0.03562753036437216
2015-04-17,53.46878140796895,4,0.04301723588576789
2015-04-24,53.2645721855324,4,0.01847649918962735
2015-05-01,54.1239526632862,4,-0.003819223424570306
2015-05-08,55.72359157237246,4,0.016134185303514403
2015-05-15,56.05543155883186,4,0.02955510139915085
2015-05-22,56.5574458973217,4,0.00595510765002305
2015-05-29,55.97034438281664,4,0.008955676988463779
