Date,ADBE,dayofweek,weekly_ret
2017-09-15,154.49,4,0.0018057526118921974
2017-09-22,148.5,4,-0.005471868160164761
2017-09-29,149.18,4,-0.038772736099424
2017-10-06,151.12,4,0.004579124579124683
2017-10-13,153.93,4,0.013004424185547592
2017-10-20,175.64,4,0.018594494441503517
2017-10-27,177.33,4,0.14103813421685163
2017-11-03,182.3,4,0.009621953996811872
2017-11-10,181.72,4,0.028026842609823577
2017-11-17,182.24,4,-0.0031815688425672617
2017-11-24,184.46,4,0.002861545234426721
2017-12-01,179.52,4,0.01218173836698866
2017-12-08,173.57,4,-0.026780873902200963
2017-12-15,177.51,4,-0.03314393939393945
2017-12-22,175.0,4,0.02269977530679257
2017-12-29,175.24,4,-0.014140048447974674
2018-01-05,185.34,4,0.001371428571428579
2018-01-12,195.05,4,0.05763524309518364
2018-01-19,195.73,4,0.05239020179130249
2018-01-26,201.3,4,0.00348628556780306
2018-02-02,195.64,4,0.02845756910029129
2018-02-09,187.99,4,-0.028117237953303675
2018-02-16,201.56,4,-0.03910243304027794
2018-02-23,209.74,4,0.07218469067503586
2018-03-02,209.79,4,0.040583449097043145
2018-03-09,221.11,4,0.0002383903880993632
2018-03-16,225.55,4,0.05395872062538731
2018-03-23,215.02,4,0.020080502917100063
2018-04-06,218.61,4,-0.046685878962536065
2018-04-13,224.06,4,0.01669612129104281
2018-04-20,225.24,4,0.024930241068569448
2018-04-27,221.9,4,0.005266446487548038
2018-05-04,228.51,4,-0.014828627242052916
2018-05-11,241.88,4,0.02978819287967549
2018-05-18,238.09,4,0.05850947442125065
2018-05-25,243.56,4,-0.01566892674053244
2018-06-01,251.31,4,0.02297450543911972
2018-06-08,251.21,4,0.03181967482345205
2018-06-15,251.82,4,-0.0003979149257888892
2018-06-22,243.63,4,0.0024282472831493873
2018-06-29,243.81,4,-0.032523230879199394
2018-07-06,248.19,4,0.0007388252678242058
2018-07-13,258.59,4,0.017964808662483067
2018-07-20,257.54,4,0.041903380474636265
2018-07-27,254.81,4,-0.004060481843845332
2018-08-03,253.28,4,-0.010600295099790435
2018-08-10,253.7,4,-0.0060044739217456344
2018-08-17,245.7,4,0.001658243840808593
2018-08-24,261.51,4,-0.03153330705557744
2018-08-31,263.51,4,0.06434676434676434
2018-09-07,260.87,4,0.007647891094030745
2018-09-14,274.69,4,-0.0100185951197298
2018-09-21,260.88,4,0.05297657837236924
2018-09-28,269.95,4,-0.050274855291419396
2018-10-05,263.22,4,0.03476694265562719
2018-10-12,248.87,4,-0.02493054269309114
2018-10-19,245.03,4,-0.054517133956386354
2018-10-26,245.8,4,-0.015429742435809857
2018-11-02,239.64,4,0.003142472350324388
2018-11-09,244.84,4,-0.025061025223759303
2018-11-16,238.89,4,0.021699215489901613
2018-11-23,225.56,4,-0.024301584708381063
2018-11-30,250.89,4,-0.0557997404663233
2018-12-07,238.0,4,0.11229827983685037
2018-12-14,230.0,4,-0.05137709753278319
2018-12-21,208.8,4,-0.03361344537815125
2018-12-28,223.13,4,-0.09217391304347822
2019-01-04,226.19,4,0.06863026819923368
2019-01-11,237.55,4,0.013713978398243176
2019-01-18,247.51,4,0.0502232636279234
2019-01-25,244.95,4,0.041928015154704124
2019-02-01,247.38,4,-0.010343016443780106
2019-02-08,257.0,4,0.009920391916717675
2019-02-15,259.45,4,0.03888754143423068
2019-02-22,258.9,4,0.009533073929961056
2019-03-01,264.01,4,-0.002119868953555648
2019-03-08,254.74,4,0.019737350328312253
2019-03-15,257.09,4,-0.03511230635203211
2019-03-22,259.69,4,0.009225092250922273
2019-03-29,266.49,4,0.01011318993348631
2019-04-05,267.45,4,0.02618506681042776
2019-04-12,271.86,4,0.0036023865811098954
2019-04-26,281.96,4,0.016489063376332158
2019-05-03,285.58,4,0.03715147502390925
2019-05-10,278.48,4,0.012838700524897106
2019-05-17,279.85,4,-0.024861684991946076
2019-05-24,274.77,4,0.004919563343866784
2019-05-31,270.9,4,-0.018152581740218166
2019-06-07,278.16,4,-0.014084507042253502
2019-06-14,274.28,4,0.02679955703211534
2019-06-21,299.33,4,-0.013948806442335537
2019-06-28,294.65,4,0.09133002770891063
2019-07-05,303.98,4,-0.015634917983496477
2019-07-12,309.42,4,0.031664686916681006
2019-07-19,306.87,4,0.01789591420488179
2019-07-26,311.27,4,-0.008241225518712425
2019-08-02,293.71,4,0.014338319157949586
2019-08-09,294.83,4,-0.056414045683811476
2019-08-16,287.45,4,0.003813285213305706
2019-08-23,282.44,4,-0.025031374012142615
2019-08-30,284.51,4,-0.01742911810749692
2019-09-06,284.94,4,0.0073289902280129215
2019-09-13,278.35,4,0.0015113704263469696
2019-09-20,277.91,4,-0.02312767600196519
2019-09-27,277.54,4,-0.001580743668043838
2019-10-04,276.96,4,-0.0013313662696556872
2019-10-11,278.29,4,-0.002089788859263697
