Date,VZ,dayofweek,weekly_ret
2015-02-06,37.68008399916497,4,-0.030540827147401917
2015-02-13,37.664807257223295,4,0.07919492452417409
2015-02-20,37.40510264421465,4,-0.00040543279951321676
2015-02-27,37.77174445081508,4,-0.006895153112958963
2015-03-06,36.885693418197384,4,0.00980191954257692
2015-03-13,37.305803821593706,4,-0.02345803842264882
2015-03-20,37.855766531494346,4,0.011389521640090994
2015-03-27,37.09192943441012,4,0.014742014742014531
2015-04-10,38.01694191146692,4,-0.020177562550443895
2015-04-17,37.769777721875904,4,0.024938375845142025
2015-04-24,38.64257626636915,4,-0.0065014221861035
2015-05-01,38.936083741508476,4,0.023108384458077502
2015-05-08,38.72753895654107,4,0.0075954427343596365
2015-05-15,38.4572031241759,4,-0.005356080142828734
2015-05-22,38.31817326753096,4,-0.006980454726765228
