Date,KO,dayofweek,weekly_ret
2015-02-06,33.77310684237479,4,-0.04941122142692245
2015-02-13,34.21309424152756,4,0.006801068739373584
2015-02-20,34.1967984119293,4,0.013027744270204922
2015-02-27,35.280471080212976,4,-0.00047630388187680506
2015-03-06,33.83014224596866,4,0.031689301882296794
2015-03-13,32.78283494452445,4,-0.0411085450346419
2015-03-20,33.390685053743894,4,-0.030957815483882767
2015-03-27,32.92247618583163,4,0.018541718867451706
2015-04-10,33.57961143904184,4,-0.014022140221401913
2015-04-17,33.10318838046444,4,0.019960079840319445
2015-04-24,33.58782562970697,4,-0.014187866927592885
2015-05-01,33.60425401103722,4,0.014640198511166158
2015-05-08,33.661753345693114,4,0.0004891171435557062
2015-05-15,34.105319641610016,4,0.0017110730872647029
2015-05-22,33.85067973099105,4,0.013177159590044285
2015-05-29,33.645324964362864,4,-0.007466281310212319
