Date,BAC,dayofweek,weekly_ret
2015-02-06,14.695831500360606,4,-0.03687221869040047
2015-02-13,14.802775089204953,4,0.08844884488448845
2015-02-20,14.597799877253287,4,0.0072771376591873604
2015-02-27,14.089817830242643,4,-0.013847080072245777
2015-03-06,14.500837239935136,4,-0.034798534798534675
2015-03-13,14.384615979689045,4,0.029171378554680327
2015-03-20,14.161113556138874,4,-0.008014796547472391
2015-03-27,13.687288418212509,4,-0.015537600994406375
2015-04-10,14.053832392834792,4,-0.03345959595959602
2015-04-17,13.910790841762678,4,0.026779882429784685
2015-04-24,13.982311617298734,4,-0.010178117048346369
2015-05-01,14.402496173573056,4,0.005141388174807249
2015-05-08,14.706459469601292,4,0.030051150895140655
2015-05-15,14.617058500181225,4,0.02110490378646812
2015-05-22,14.974662377861495,4,-0.006079027355623046
2015-05-29,14.751159954311323,4,0.02446483180428105
2015-06-05,15.413413609178994,4,-0.014925373134328401
2015-06-12,15.682408611084387,4,0.044895022284272335
2015-06-19,15.39548060905197,4,0.017452006980802848
2015-06-26,15.610676610576286,4,-0.01829616923956534
2015-07-10,14.974055106066851,4,0.013977868375072866
2015-07-17,16.22936511495869,4,-0.04078116025272871
2015-07-24,16.050035113688427,4,0.08383233532934176
2015-07-31,16.032102113561393,4,-0.01104972375690616
2015-08-07,15.915537612735731,4,-0.0011173184357546884
2015-08-14,15.870705112418165,4,-0.007270693512303805
2015-08-21,14.436065102256071,4,-0.0028169014084508115
2015-08-28,14.669194103907412,4,-0.09039548022598864
2015-09-04,14.076839389932358,4,0.016149068322981464
2015-09-11,14.427636026486585,4,-0.04038086276445607
2015-09-18,13.995886319958307,4,0.024920127795527325
2015-09-25,14.292714243196498,4,-0.029925187032418976
2015-10-02,13.833980180010204,4,0.021208226221079762
2015-10-09,14.013875891063652,4,-0.03209565764631839
2015-10-16,14.499594310907964,4,0.013003901170351106
2015-10-23,14.85938573301486,4,0.03465982028241332
2015-10-30,15.093250157384345,4,0.02481389578163773
2015-11-06,16.14564006704702,4,0.0157384987893463
2015-11-13,15.471031150596586,4,0.0697258641239571
2015-11-20,15.875796500466844,4,-0.04178272980501396
2015-11-27,15.722885146071414,4,0.026162790697674243
2015-12-04,16.056151650055902,4,-0.009631728045325638
2015-12-11,15.090978489069395,4,0.021196269061836803
2015-12-18,15.11803941881668,4,-0.06011235955056182
2016-01-08,13.710871071957849,4,0.0017931858936044431
2016-01-15,13.04336813819148,4,-0.09307875894988071
2016-01-22,12.231540245772926,4,-0.048684210526315774
2016-01-29,12.754718220887105,4,-0.06224066390041472
2016-02-05,11.681301340911455,4,0.04277286135693181
2016-02-12,10.779270349335285,4,-0.08415841584158434
2016-02-19,10.941635927818997,4,-0.07722007722007695
2016-02-26,11.455793593017411,4,0.015062761506276168
2016-03-04,12.259038401578765,4,0.046990931574607986
2016-03-11,12.485386968816188,4,0.07011690652762392
2016-03-18,12.485386968816188,4,0.01846381093057614
2016-04-01,12.277146286957759,4,0.0
2016-04-08,11.661478184071974,4,-0.016678752719361922
2016-04-15,12.675519765295622,4,-0.05014749262536855
2016-04-22,13.680507403829775,4,0.08695652173913015
2016-04-29,13.182540555907448,4,0.0792857142857144
2016-05-06,12.775113134880087,4,-0.03639973527465257
2016-05-13,12.56687245302166,4,-0.03090659340659352
2016-05-20,13.14632478514946,4,-0.016300496102055195
2016-05-27,13.472266721971348,4,0.046109510086455474
2016-06-03,13.099714649500301,4,0.024793388429752206
2016-06-10,12.563734646504107,4,-0.027653258368427913
2016-06-17,12.17310515279501,4,-0.04091539528432697
2016-06-24,11.809728879577248,4,-0.0310918293564717
2016-07-01,11.900572947881686,4,-0.029850746268656803
2016-07-08,11.964163795694795,4,0.007692307692307443
2016-07-15,12.409299730386556,4,0.005343511450381699
2016-07-22,13.063377022178528,4,0.037205770690964535
2016-07-29,13.163305497313411,4,0.05270863836017581
2016-08-05,13.672032279818275,4,0.007649513212795389
2016-08-12,13.544850584192062,4,0.03864734299516881
2016-08-19,13.826467195935823,4,-0.009302325581395099
2016-08-26,14.344278385271132,4,0.02079141515761207
2016-09-02,14.602592986929377,4,0.03745072273324568
2016-09-09,14.365300850891774,4,0.01800819774409046
2016-09-16,14.137135335471001,4,-0.016249999999999987
2016-09-23,14.164515197321494,4,-0.01588310038119456
2016-09-30,14.283161265340295,4,0.0019367333763717909
2016-10-07,14.721239054948175,4,0.008376288659793785
2016-10-14,14.602592986929377,4,0.03067092651757175
2016-10-21,15.214076568257045,4,-0.008059516429014035
2016-10-28,15.223203188873873,4,0.04187500000000011
2016-11-04,15.104557120855072,4,0.0005998800239950253
2016-11-11,17.358832413212294,4,-0.007793764988009655
2016-11-18,18.25324123366172,4,0.14924471299093667
2016-11-25,19.038130606709174,4,0.05152471083070442
2016-12-02,19.44462173277599,4,0.04300000000000015
2016-12-09,21.14820140413555,4,0.021351420182166736
2016-12-16,20.754363093014785,4,0.08761186999528991
2016-12-23,20.699408910067707,4,-0.018622780424426444
2016-12-30,20.24145738550868,4,-0.0026478375992937675
2017-01-06,20.772681153997148,4,-0.02212389380530999
2017-01-13,21.0749291602061,4,0.026244343891402844
2017-01-20,20.736045032032425,4,0.014550264550264425
2017-01-27,21.39549522739741,4,-0.016079965232507543
2017-02-03,21.331382013959146,4,0.03180212014134254
2017-02-10,21.139042373644358,4,-0.0029965753424658903
2017-02-17,22.45794276437434,4,-0.009016745384285096
2017-02-24,22.19233088013011,4,0.062391681109185804
2017-03-03,23.36910466829695,4,-0.011827079934747076
2017-03-10,23.24968707368693,4,0.05302614648831061
2017-03-17,22.83631847695999,4,-0.005110062893082246
2017-03-24,21.237959902949108,4,-0.017779533781113743
2017-03-31,21.669700437308375,4,-0.06999195494770738
2017-04-07,21.274703778213727,4,0.02032871972318384
2017-04-21,20.86133518148678,4,-0.01822806273844879
2017-04-28,21.440051216904507,4,-0.01943005181347135
2017-05-05,21.807489969550687,4,0.02774108322324942
2017-05-12,22.046325158770703,4,0.01713796058269068
2017-05-19,21.17365812123603,4,0.010951979780960297
2017-05-26,21.348191528742962,4,-0.039583333333333304
2017-06-02,20.691517729858013,4,0.008242950108459768
