Date,NKE,dayofweek,weekly_ret
2015-02-06,42.84307109034801,4,-0.040661397670549104
2015-02-13,42.959758831633415,4,-0.004986449864498477
2015-02-20,44.30866912089266,4,0.0027236082361914438
2015-02-27,45.46171917475976,4,0.03139939156888305
2015-03-06,45.36341850520972,4,0.026023125423178417
2015-03-13,44.848510236138104,4,-0.0021622734761119755
2015-03-20,47.73667752720346,4,-0.011350737797956811
2015-03-27,46.75367083170309,4,0.06439828827888516
2015-04-10,46.79579969008167,4,-0.020592272994705008
2015-04-17,46.13109992455286,4,0.0009010812975569493
2015-04-24,47.25453614798185,4,-0.014204261278383368
2015-05-01,47.174959415488956,4,0.0243531202435312
2015-05-08,47.952002803360685,4,-0.0016840019811790174
2015-05-15,49.140972806489685,4,0.016471522127406546
2015-05-22,48.88351867195389,4,0.024795001952362172
