Date,AVGO,dayofweek,weekly_ret
2015-02-13,93.0420545571541,4,0.018079315707620447
2015-02-20,94.65540293849014,4,0.05165170899369875
2015-02-27,107.7987017937722,4,0.01733999092147065
2015-03-06,108.02676674820191,4,0.1388541852578975
2015-03-13,105.58562705078769,4,0.0021156558533146352
2015-03-20,112.91605928219595,4,-0.022597544765032507
2015-03-27,108.61255878588301,4,0.06942642134314592
2015-04-10,107.43502616976585,4,-0.038112386525620545
2015-04-17,103.22471170782188,4,-0.010841588019655513
2015-04-24,101.23391915539364,4,-0.039189402302475806
2015-05-01,104.02950018646307,4,-0.01928600738613051
2015-05-08,104.47848744296816,4,0.02761506276150616
2015-05-15,108.32452922510616,4,0.004315960912051997
2015-05-22,112.36541453365196,4,0.036811805724479285
2015-05-29,125.43687371831913,4,0.03730351137874366
2015-06-05,121.82803275093859,4,0.11632991556091699
2015-06-12,118.99856588918949,4,-0.028770176267981284
2015-06-19,121.39282798431351,4,-0.02322508865864703
2015-06-26,114.81727694086344,4,0.020120092013155233
2015-07-10,110.30614308547324,4,-0.054167541465462654
2015-07-17,113.55144088727936,4,-0.03928967813540518
2015-07-24,109.15074910367838,4,0.029420825631546466
2015-07-31,106.31323741309394,4,-0.038755050127188384
2015-08-07,104.11289152129349,4,-0.0259962640099628
2015-08-14,103.61165442625013,4,-0.02069681956209013
2015-08-21,94.68283769929137,4,-0.004814361485108165
2015-08-28,108.42013232107278,4,-0.08617579534273545
2015-09-04,102.92351536356348,4,0.14508748317631204
2015-09-11,111.35959053946269,4,-0.050697382855351525
2015-09-18,108.74087544947912,4,0.08196450680974032
2015-09-25,108.01644764062219,4,-0.023515846971936982
2015-10-02,105.11021372509022,4,-0.006661964103769735
2015-10-09,99.63865309819424,4,-0.02690547577718161
2015-10-16,103.18408802154116,4,-0.05205546095840441
2015-10-23,110.43688879021481,4,0.03558292703789245
2015-10-30,104.93976012300621,4,0.07028991492525005
2015-11-06,110.51359291115259,4,-0.049776200030869244
2015-11-13,100.17558194475882,4,0.05311459433119481
2015-11-20,107.72667651707941,4,-0.09354515308089761
2015-11-27,110.82893207500796,4,0.07537859452101414
2015-12-04,125.76066761756519,4,0.02879746835443031
2015-12-11,123.08454606484658,4,0.13472777606890207
2015-12-18,119.85338171243677,4,-0.0212794795337492
2016-01-08,109.59488969710695,4,-0.026251584424802465
2016-01-15,102.55927392325992,4,-0.08559201141226813
2016-01-22,106.44040340239306,4,-0.06419656786271444
2016-01-29,114.30524728081257,4,0.03784279403184154
2016-02-05,109.7316695906447,4,0.07388964741787785
2016-02-12,104.00401154875222,4,-0.04001196619549763
2016-02-19,109.99668063437404,4,-0.052196946089124285
2016-02-26,113.7923226800461,4,0.057619595594279094
2016-03-04,124.8629453132562,4,0.03450687806015407
2016-03-11,127.22239847678206,4,0.09728795732852524
2016-03-18,130.78955446349954,4,0.018896343968232143
2016-04-01,135.34390251387126,4,0.028038741836552417
2016-04-08,133.9287096168631,4,0.034821955538067995
2016-04-15,133.36263245805984,4,-0.010456273764258506
2016-04-22,128.93693830741614,4,-0.0042267050912584425
2016-04-29,125.00870590238743,4,-0.033185413852980905
2016-05-06,121.69801221605316,4,-0.030466307456928132
2016-05-13,120.11985771272288,4,-0.026483704974271327
2016-05-20,125.84924471394379,4,-0.012967791951511543
2016-05-27,131.48428552203086,4,0.04769725098179234
2016-06-03,139.42651959857358,4,0.044776119402985426
