Date,BRK_B,dayofweek,weekly_ret
2017-08-25,179.6,4,0.012661115546937385
2017-09-01,180.73,4,0.011489074115791809
2017-09-08,175.5,4,0.0062917594654787745
2017-09-15,179.89,4,-0.02893819509765949
2017-09-22,181.86,4,0.025014245014244985
2017-09-29,183.32,4,0.010951136805825934
2017-10-06,187.43,4,0.008028153524689108
2017-10-13,187.37,4,0.022419812349989243
2017-10-20,189.04,4,-0.00032011951128418925
2017-10-27,188.59,4,0.008912846240059613
2017-11-03,187.27,4,-0.002380448582310568
2017-11-10,183.68,4,-0.0069993106739487665
2017-11-17,181.06,4,-0.019170182090030408
2017-11-24,182.36,4,-0.014263937282229966
2017-12-01,194.56,4,0.007179940351264902
2017-12-08,196.44,4,0.06690063610440888
2017-12-15,197.78,4,0.009662828947368363
2017-12-22,197.92,4,0.006821421299124442
2017-12-29,198.22,4,0.0007078572150873708
2018-01-05,201.42,4,0.0015157639450282812
2018-01-12,210.16,4,0.01614367874079292
2018-01-19,213.25,4,0.04339191738655557
2018-01-26,217.19,4,0.014703083365055214
2018-02-02,209.12,4,0.0184759671746777
2018-02-09,196.02,4,-0.03715640683272703
2018-02-16,203.79,4,-0.06264345830145368
2018-02-23,202.76,4,0.03963881236608491
2018-03-02,201.34,4,-0.005054222483929505
2018-03-09,212.94,4,-0.007003353718682104
2018-03-16,206.96,4,0.057613986291844554
2018-03-23,192.46,4,-0.028083028083027983
2018-04-06,195.49,4,-0.07006184770003865
2018-04-13,197.0,4,0.01574353112335025
2018-04-20,200.13,4,0.007724180264975233
2018-04-27,197.23,4,0.015888324873096327
2018-05-04,195.64,4,-0.01449058112227053
2018-05-11,199.3,4,-0.008061653906606514
2018-05-18,196.06,4,0.018707830709466577
2018-05-25,194.15,4,-0.01625689914701456
2018-06-01,192.23,4,-0.009741915740079543
2018-06-08,196.01,4,-0.009889260880762363
2018-06-15,191.76,4,0.019663944233470287
2018-06-22,188.91,4,-0.021682567215958404
2018-06-29,186.65,4,-0.014862327909887285
2018-07-06,187.56,4,-0.01196336879995763
2018-07-13,190.96,4,0.004875435306723741
2018-07-20,196.78,4,0.018127532522925982
2018-07-27,197.95,4,0.030477586929199774
2018-08-03,200.24,4,0.005945726191685985
2018-08-10,206.63,4,0.011568577923718237
2018-08-17,208.14,4,0.03191170595285642
2018-08-24,207.98,4,0.007307748148865034
2018-08-31,208.72,4,-0.0007687133660035927
2018-09-07,214.04,4,0.0035580344263872465
2018-09-14,216.37,4,0.02548869298581824
2018-09-21,220.52,4,0.010885815735376614
2018-09-28,214.11,4,0.0191801081480798
2018-10-05,219.46,4,-0.029067658262289076
2018-10-12,206.8,4,0.02498715613469704
2018-10-19,209.83,4,-0.05768705003189645
2018-10-26,198.49,4,0.01465183752417798
2018-11-02,206.57,4,-0.054043749702139876
