Date,NVDA,dayofweek,weekly_ret
2015-02-06,19.651716311617815,4,-0.07267020762916487
2015-02-13,21.491656417264384,4,0.06222337932830002
2015-02-20,21.515739402940387,4,0.09362745098039205
2015-02-27,21.33179116192269,4,0.0011205737337516286
2015-03-06,21.80561607893729,4,-0.008549473367973404
2015-03-13,21.950664522921358,4,0.022212148685403443
2015-03-20,22.695246535372874,4,0.006651884700665356
2015-03-27,20.67423821586161,4,0.033920704845815
2015-04-10,22.008683900514978,4,-0.08904985087345563
2015-04-17,21.467169709641148,4,0.06454630495790448
2015-04-24,21.30278147312588,4,-0.024604569420035083
2015-05-01,21.99901400424937,4,-0.0076576576576575794
2015-05-08,20.137558973120576,4,0.03268270540172469
2015-05-15,20.596879045736774,4,-0.08461538461538476
2015-05-22,20.264878507957985,4,0.02280912364945986
2015-05-29,21.4986462790561,4,-0.0161189730270086
2015-06-05,21.624937468223624,4,0.060882070949185074
2015-06-12,20.507746179433997,4,0.0058743786714867685
2015-06-19,21.24606390072105,4,-0.05166217430368358
2015-06-26,20.148302025649503,4,0.036001894836570125
2015-07-10,19.18654604660452,4,-0.05166895290352069
2015-07-17,19.497416666093805,4,-0.047733847637415505
2015-07-24,18.86596072025619,4,0.016202531645569396
2015-07-31,19.38084018378532,4,-0.03238664673642244
2015-08-07,22.324396362074523,4,0.0272914521112253
2015-08-14,22.868419946180772,4,0.15187969924812061
2015-08-21,20.94558671273596,4,0.024369016536118115
2015-08-28,22.17481071171348,4,-0.08408246997256763
2015-09-04,21.218747601397627,4,0.058686539357242884
2015-09-11,22.096764743524428,4,-0.04311482622085372
2015-09-18,22.721132489036822,4,0.04137931034482767
2015-09-25,23.033316361793013,4,0.028256070640176878
2015-10-02,24.194250138605113,4,0.013739802490339015
2015-10-09,25.433229883606266,4,0.05040237187632357
2015-10-16,27.17950842183623,4,0.05120967741935489
2015-10-23,27.891677881561304,4,0.06866129650939756
2015-10-30,27.677051469041416,4,0.026202440775305202
2015-11-06,30.77937870455611,4,-0.007694998251136842
2015-11-13,29.072123150420666,4,0.11209023616496316
2015-11-20,30.73677945197885,4,-0.05546751188589549
2015-11-27,30.73677945197885,4,0.057259536668346156
2015-12-04,33.04766825435764,4,0.0
2015-12-11,31.81388863952829,4,0.075183179356483
