Date,INTC,dayofweek,weekly_ret
2015-02-06,28.300211690597763,4,-0.09342845383454534
2015-02-13,29.20544447181075,4,0.014915902801799108
2015-02-20,29.247943663416986,4,0.031986784802522594
2015-02-27,28.261962418152137,4,0.0014551804423745818
2015-03-06,28.21096338822464,4,-0.033711130485323815
2015-03-13,26.28999992762242,4,-0.0018045112781955863
2015-03-20,26.612993783829875,4,-0.06809279903585419
2015-03-27,27.19948262799604,4,0.012285806660200516
2015-04-10,27.1399837597473,4,0.022037687639731685
2015-04-17,27.598975029094728,4,-0.002187500000000009
2015-04-24,27.267481334566032,4,0.016911994989038392
2015-05-01,28.406459669613373,4,-0.012011087157375866
2015-05-08,28.084465794384887,4,0.041770573566084934
2015-05-15,28.247150199901146,4,-0.011335234273242678
2015-05-22,28.641017707993125,4,0.005792682926829551
2015-05-29,29.505813758369,4,0.01394361927856913
2015-06-05,27.262481429671183,4,0.03019431988041843
2015-06-12,26.81723989878459,4,-0.07603017991874639
2015-06-19,27.45941518371717,4,-0.01633165829145744
2015-06-26,26.56036978481156,4,0.023946360153256574
2015-07-10,24.9763374153112,4,-0.03274087932647318
2015-07-17,25.233207529284226,4,-0.05963894261766578
2015-07-24,24.025917993610967,4,0.010284538909838714
2015-07-31,24.787965998397638,4,-0.04784526637258246
2015-08-07,24.9318320805459,4,0.031717747683535524
2015-08-14,25.0526927623768,4,0.005803867980033628
2015-08-21,22.928997924490968,4,0.00484764542936289
2015-08-28,24.534718411672934,4,-0.0847691247415574
2015-09-04,24.621047470123578,4,0.07003012048192736
2015-09-11,25.441173525404697,4,0.0035186488388458947
2015-09-18,25.0526927623768,4,0.03330995792426372
2015-09-25,24.87140173963045,4,-0.015269765863590079
2015-10-02,26.33899573329139,4,-0.007236388697450025
2015-10-09,27.746159386036886,4,0.059007289135716734
2015-10-16,28.52312091209268,4,0.053425106522451804
2015-10-23,30.12884139927465,4,0.028002489110143136
2015-10-30,29.231019191387954,4,0.056295399515738476
2015-11-06,29.419062334635676,4,-0.02979942693409743
2015-11-13,27.915073627811804,4,0.006432999890168878
2015-11-20,30.131935594517504,4,-0.051122931442080466
2015-11-27,29.958064067717057,4,0.07941451261289312
2015-12-04,30.371008943868127,4,-0.0057703404500865085
2015-12-11,29.792886117256643,4,0.013784097504353054
2015-12-18,29.44079627548573,4,-0.019035351366823994
2016-01-08,27.393459047410463,4,-0.011817916545083351
2016-01-15,25.87208318790655,4,-0.06954082385944194
2016-01-22,26.015527197516924,4,-0.05553792446842265
2016-01-29,26.96747380674937,4,0.005544354838709742
2016-02-05,25.469867500551405,4,0.03659147869674184
2016-02-12,25.119042879331694,4,-0.05553380034518274
2016-02-19,25.180437188045143,4,-0.013774104683195398
2016-02-26,26.13643428086887,4,0.002444134078212201
2016-03-04,26.864395369899782,4,0.037965865552072486
2016-03-11,27.85547492484548,4,0.0278523489932887
2016-03-18,28.66237155365082,4,0.03689193601044738
2016-04-01,28.460647396449488,4,0.02896725440806014
2016-04-08,27.74145692294907,4,-0.007037943696450277
2016-04-15,27.59235645893069,4,-0.025269645608628655
2016-04-22,27.750227538479567,4,-0.0053746443250078935
2016-04-29,26.55742382633253,4,0.005721551176096851
2016-05-06,26.576416542844793,4,-0.04298356510745893
2016-05-13,26.461405419323825,4,0.000715156584330634
2016-05-20,26.673733647362532,4,-0.004327563249001409
2016-05-27,27.93000899659155,4,0.008024072216650024
2016-06-03,27.974244044099606,4,0.04709784411276963
2016-06-10,28.345818443167342,4,0.0015837820715867146
2016-06-17,28.098102177122197,4,0.013282732447817747
2016-06-24,27.912314977588323,4,-0.00873907615480607
2016-07-01,28.973956117781853,4,-0.006612090680100935
2016-07-08,30.07983230548345,4,0.03803486529318523
2016-07-15,31.026462322156018,4,0.03816793893129766
2016-07-22,30.66373493258989,4,0.03147058823529414
2016-07-29,30.840675122622148,4,-0.011690903906472871
2016-08-05,31.181764147634983,4,0.0057703404500866196
2016-08-12,30.81628320708237,4,0.011059713305777708
2016-08-19,31.41353254896104,4,-0.011720983419096664
2016-08-26,31.431360887524573,4,0.019380966155626567
2016-09-02,32.1623227686298,4,0.0005675368898976352
2016-09-09,31.591815934596447,4,0.023255813953488413
2016-09-16,33.57967568443139,4,-0.017738359201774134
2016-09-23,33.15179555890638,4,0.06292325056433445
2016-09-30,33.65098903868556,4,-0.012742235200424945
2016-10-07,33.96298496354754,4,0.01505781123958072
2016-10-14,33.38356396023243,4,0.009271523178807861
2016-10-21,31.33330502542509,4,-0.017060367454068137
2016-10-28,30.96782408487249,4,-0.06141522029372515
2016-11-04,30.19010550741957,4,-0.011664295874821873
2016-11-11,31.088353216655502,4,-0.02511376244328478
2016-11-18,31.393757437795724,4,0.02975304968759307
2016-11-25,31.833898815321326,4,0.00982375036116756
2016-12-02,30.684141747499336,4,0.014020028612303115
2016-12-09,32.12133808227682,4,-0.036117381489842004
2016-12-16,32.615374322356594,4,0.04683840749414525
