Date,LLY,dayofweek,weekly_ret
2015-02-06,60.928032384077255,4,-0.0018023014002493953
2015-02-13,61.5379710504851,4,-0.022777777777777897
2015-02-20,62.6891915973479,4,0.010010805249099697
2015-02-27,61.19783770709381,4,0.018707482993197022
2015-03-06,59.662876977943384,4,-0.023789649415692615
2015-03-13,60.95363940927442,4,-0.025081943850648547
2015-03-20,66.38705153575575,4,0.02163426399649171
2015-03-27,64.17182411982274,4,0.08914007726427231
2015-04-10,64.46835062431772,4,-0.03336836573830804
2015-04-17,63.203752296324474,4,0.004620820875238074
2015-04-24,62.42755056397,4,-0.019615800865800948
2015-05-01,63.770641201976616,4,-0.012280943838829828
2015-05-08,63.892740350886314,4,0.02151438949427198
2015-05-15,64.01388451838027,4,0.001914660831509929
2015-05-22,65.24323209486492,4,0.0018960552768381156
2015-05-29,69.28251698902885,4,0.019204389574759784
2015-06-05,68.59759476784454,4,0.061911170928667714
2015-06-12,73.94525672555284,4,-0.009885931558935246
2015-06-19,72.5578501749487,4,0.07795698924731154
2015-06-26,75.38534960086346,4,-0.018762617266358084
2015-07-10,77.52792680559388,4,0.03896889749485699
2015-07-17,76.72006982676109,4,0.028421665695981257
2015-07-24,74.39309048555796,4,-0.010420206138860633
2015-07-31,74.20868834908526,4,-0.03033077715462984
2015-08-07,72.2417322267098,4,-0.002478753541076517
2015-08-14,74.12366862026231,4,-0.026505738965802772
2015-08-21,74.67135869944909,4,0.02605054357842085
2015-08-28,73.48764143152928,4,0.00738886902633773
2015-09-04,70.95236638755176,4,-0.01585236010883695
2015-09-11,72.25975560883634,4,-0.034499338862844287
2015-09-18,78.16950823748078,4,0.018426294820717226
2015-09-25,74.2561742845817,4,0.08178484107579465
2015-10-02,77.31263827488209,4,-0.05006215391569668
2015-10-09,76.0935861631438,4,0.04116107542231706
2015-10-16,72.0035779911522,4,-0.015767824497257443
2015-10-23,69.17679048567206,4,-0.053749709774785326
2015-10-30,72.05658025687995,4,-0.039258986627407566
2015-11-06,71.07603834091653,4,0.04162942152981719
2015-11-13,70.71104255663646,4,-0.013607944097094538
2015-11-20,75.08437165001988,4,-0.0051352859951108165
2015-11-27,74.35548346778931,4,0.06184789440603389
2015-12-04,76.99548090830736,4,-0.009707588492955943
2015-12-11,74.03548377802957,4,0.03550508069336522
2015-12-18,75.35103805815302,4,-0.038443777418609715
2016-01-08,72.22215220272423,4,0.017769240004802178
2016-01-15,72.21326332245313,4,-0.04152412410050721
2016-01-22,73.31548447607008,4,-0.00012307692307689244
2016-01-29,70.31104294443675,4,0.015263417035942695
2016-02-05,66.06215817484879,4,-0.0409796314258003
