Date,DIS,dayofweek,weekly_ret
2015-03-06,96.769942259812,4,-0.004495456719270652
2015-03-13,99.212027105898,4,-0.0024980784012272883
2015-03-20,101.06689307678002,4,0.025235985359269852
2015-03-27,98.317217391302,4,0.01869597895527475
2015-04-10,99.687394766778,4,-0.02720649266806996
2015-04-17,99.445050469075,4,0.013936291240044918
2015-04-24,102.09219587476,4,-0.0024310425432420013
2015-05-01,103.01496839293002,4,0.02661917705505301
2015-05-08,102.63281007732999,4,0.009038619556209992
2015-05-15,102.80990783333999,4,-0.0037097357943396414
2015-05-22,102.77262409523,4,0.0017255471800543543
2015-05-29,102.87515437503001,4,-0.00036264732549351475
2015-06-05,102.80990783333999,4,0.0009976419372634826
2015-06-12,102.48367512489,4,-0.0006342303162156782
2015-06-19,104.97236464361,4,-0.00317316409794699
2015-06-26,107.18142612652001,4,0.02428376534786847
2015-07-10,109.15514312064,4,0.021044219499198213
2015-07-17,111.42374022088,4,0.01841472972929248
2015-07-24,111.47061206178999,4,0.020783236001373773
2015-07-31,112.49241819372,4,0.00042066296479603693
2015-08-07,102.50871607902,4,0.009166596585686637
2015-08-14,100.45572944698999,4,-0.08875000000006528
2015-08-21,92.656255118891,4,-0.0200274348421986
2015-08-28,96.06852513743401,4,-0.07764091078761959
2015-09-04,94.65299554183001,4,0.03682719546742508
2015-09-11,97.943398773996,4,-0.014734582357530335
2015-09-18,96.406002392015,4,0.03476280083192784
2015-09-25,94.024912873582,4,-0.01569678407350894
2015-10-02,96.55599228294001,4,-0.024698560871249442
2015-10-09,98.95583053773899,4,0.026919242273173882
2015-10-16,101.46816121073,4,0.024854368932035742
2015-10-23,106.0147297794,4,0.025388404698729605
2015-10-30,106.62406371128,4,0.04480783444205372
2015-11-06,108.43331677056,4,0.00574763462726291
2015-11-13,107.65524421139,4,0.016968524705446963
2015-11-20,112.558038771,4,-0.007175585717961286
2015-11-27,107.92710088868999,4,0.045541623127833386
2015-12-04,107.09278212042,4,-0.041142666777729486
2015-12-11,101.92990893583999,4,-0.007730391731085806
2015-12-18,101.62800620667,4,-0.04820934784171205
2016-01-08,93.637018343966,4,-0.0029618659755697996
2016-01-15,88.58958209066401,4,-0.0786297809134775
2016-01-22,91.419920176628,4,-0.053904282115869506
