Date,MDT,dayofweek,weekly_ret
2015-02-13,66.62360803067335,4,0.04299719887955167
2015-02-20,69.74852613256382,4,0.010608298643749459
2015-02-27,68.68623102710531,4,0.04690406590486318
2015-03-06,67.70360805455617,4,-0.015230359182637376
2015-03-13,67.69475559534402,4,-0.014305967263822827
2015-03-20,69.06688677322794,4,-0.0001307531380752014
2015-03-27,68.77304313462271,4,0.02026938668758982
2015-04-10,69.26186678057829,4,-0.004254479278471335
2015-04-17,67.98203759844003,4,0.007107779788058988
2015-04-24,68.97746029565867,4,-0.018478121390992253
2015-05-01,67.19103206225739,4,0.014642436919859003
2015-05-08,67.73318192413538,4,-0.025898724391186567
2015-05-15,67.91982367986388,4,0.008068783068782892
2015-05-22,69.16410205138716,4,0.002755543891877821
2015-05-29,67.83094665332649,4,0.01831981156765239
