Date,XOM,dayofweek,weekly_ret
2015-02-06,69.13529960025707,4,-0.03817801738365045
2015-02-13,70.54822867405467,4,0.054564172958133206
2015-02-20,67.94148786945482,4,0.020437158469945205
2015-02-27,66.89879154761488,4,-0.03694976973331898
2015-03-06,64.70006234721325,4,-0.015346975088967985
2015-03-13,63.370246748344925,4,-0.03286650101648991
2015-03-20,63.876483368368675,4,-0.02055354431857981
2015-03-27,63.15112940534957,4,0.007988553714081359
2015-04-10,64.64717195407643,4,-0.011355571327182568
2015-04-17,65.68231250546827,4,0.02368987796123445
2015-04-24,65.71253558726072,4,0.016012155212716594
2015-05-01,67.13302043150645,4,0.0004601403428041717
2015-05-08,67.23880121778006,4,0.02161664941934016
2015-05-15,66.55484901099264,4,0.0015756893640967995
2015-05-22,65.92244460711028,4,-0.010171986924219056
2015-05-29,64.91669302503232,4,-0.009502003434459172
2015-06-05,64.21571464964465,4,-0.015256588072122046
2015-06-12,64.01761206529595,4,-0.0107981220657275
2015-06-19,64.92431235519958,4,-0.003084954912197624
2015-06-26,63.89570278261985,4,0.01416329445370157
2015-07-10,62.64613263518964,4,-0.015843210890740367
2015-07-17,62.94328651171268,4,-0.019556403529692568
2015-07-24,60.90892535705497,4,0.004743371442471611
2015-07-31,60.35271425484518,4,-0.03232054230722681
2015-08-07,58.53931367503794,4,-0.009131848886665073
2015-08-14,60.26752701678858,4,-0.030046711273829074
2015-08-21,55.475966356826966,4,0.029522268596182233
2015-08-28,57.737152286247046,4,-0.07950484941296554
2015-09-04,55.72977294074146,4,0.04075973935948962
2015-09-11,55.90666843862125,4,-0.03476755028639922
2015-09-18,55.89897733001779,4,0.003174165056582634
2015-09-25,56.321988303208634,4,-0.00013757050488361067
2015-10-02,58.36013208312809,4,0.007567418822234551
2015-10-09,60.959726791100856,4,0.036187354909190006
2015-10-16,63.436263761418104,4,0.0445440168687401
2015-10-23,63.820819191591596,4,0.040625788544032426
2015-10-30,63.63623258510831,4,0.006062075654704291
2015-11-06,64.96679437350858,4,-0.002892263195951039
2015-11-13,60.60263223191426,4,0.020908871162678366
2015-11-20,61.914008012604846,4,-0.06717527290178082
2015-11-27,63.03139329319328,4,0.021638924455825936
2015-12-04,61.19236335222482,4,0.018047374357688994
2015-12-11,57.6850151103778,4,-0.029176412655422923
2015-12-18,59.96634339157918,4,-0.05731676388536644
2016-01-08,57.95660181052082,4,0.039548022598870025
2016-01-15,60.199131991701776,4,-0.03351449275362317
2016-01-22,59.41541037128904,4,0.03869326549738927
2016-01-29,60.408641731812104,4,-0.013018819283320715
2016-02-05,62.13903699272336,4,0.01671672978973504
2016-02-12,63.44937305410021,4,0.02864482980089922
2016-02-19,64.60043535682176,4,0.021087163959915944
