Date,MRK,dayofweek,weekly_ret
2015-02-06,48.51087960872632,4,-0.035365658505360664
2015-02-13,48.527382714563615,4,-0.024717982747179956
2015-02-20,48.14781128030585,4,0.0003401939105289742
2015-02-27,48.30459078576015,4,-0.007821799013773112
2015-03-06,46.90182678959014,4,0.003256212510711176
2015-03-13,46.74524560346004,4,-0.029039972668261083
2015-03-20,48.724848531151046,4,-0.003338488004583473
2015-03-27,48.034482804267206,4,0.042348754448398473
2015-04-10,47.6185998362649,4,-0.014168658245134802
2015-04-17,47.31084643994319,4,-0.008658008658008587
2015-04-24,47.90971791386652,4,-0.006462882096069822
2015-05-01,49.78950892923697,4,0.012658227848101333
2015-05-08,50.52146295292107,4,0.03923611111111103
2015-05-15,50.09726232555869,4,0.014700968927497948
2015-05-22,49.39026127995476,4,-0.0083964438590719
