Date,NFLX,dayofweek,weekly_ret
2015-03-06,64.874285714286,4,-0.006879966541196159
2015-03-13,62.62857142857099,4,-0.0437767155882165
2015-03-20,61.185,4,-0.034616400951301474
2015-03-27,59.252857142856996,4,-0.023049726277365457
2015-04-10,64.938571428571,4,-0.031578701595865066
2015-04-17,81.65,4,0.09595679533234835
2015-04-24,79.77071428571399,4,0.25734210352641806
2015-05-01,79.575714285714,4,-0.02301635902371113
2015-05-08,82.08571428571399,4,-0.0024445061291736847
2015-05-15,87.607142857143,4,0.03154228677091009
2015-05-22,88.838571428571,4,0.06726418378002652
2015-05-29,89.15142857142901,4,0.014056257643695114
2015-06-05,90.46,4,0.003521636354874902
2015-06-12,94.418571428571,4,0.014678075826037418
2015-06-19,93.871428571429,4,0.04376046239852971
2015-06-26,93.088571428571,4,-0.005794864811695555
2015-07-10,97.228571428571,4,-0.008339674326595659
2015-07-17,114.77,4,0.04447377305791744
2015-07-24,109.34,4,0.1804143402879863
2015-07-31,114.31,4,-0.04731201533501783
2015-08-07,123.52,4,0.045454545454545414
2015-08-14,123.39,4,0.08057037879450601
2015-08-21,103.96,4,-0.0010524611398963213
2015-08-28,117.63,4,-0.1574681902909475
2015-09-04,98.79,4,0.1314928818776453
2015-09-11,97.51,4,-0.16016322366743174
2015-09-18,102.62,4,-0.01295677700172082
2015-09-25,102.24,4,0.05240488155061018
2015-10-02,106.11,4,-0.003702981874878275
2015-10-09,113.33,4,0.03785211267605648
2015-10-16,98.99,4,0.06804259730468387
2015-10-23,100.04,4,-0.12653313332745086
2015-10-30,108.38,4,0.010607132033538802
2015-11-06,114.06,4,0.08336665333866433
2015-11-13,103.65,4,0.05240819339361513
2015-11-20,123.84,4,-0.09126775381378216
2015-11-27,125.44,4,0.1947901591895802
2015-12-04,130.93,4,0.012919896640826822
2015-12-11,118.91,4,0.04376594387755106
2015-12-18,118.02,4,-0.09180478118078372
2016-01-08,111.39,4,-0.007484652258010316
2016-01-15,104.04,4,-0.05617691916624301
2016-01-22,100.72,4,-0.06598437920818745
2016-01-29,91.84,4,-0.031910803537101184
2016-02-05,82.79,4,-0.08816521048451142
2016-02-12,87.4,4,-0.09854094076655051
2016-02-19,89.23,4,0.05568305350887792
2016-02-26,94.79,4,0.02093821510297489
2016-03-04,101.58,4,0.062310881990361944
2016-03-11,97.66,4,0.07163202869500984
2016-03-18,101.12,4,-0.038590273675920495
2016-04-01,105.7,4,0.03542903952488241
2016-04-08,103.81,4,0.04529272151898733
2016-04-15,111.51,4,-0.01788079470198678
2016-04-22,95.9,4,0.07417397167902906
2016-04-29,90.03,4,-0.13998744507219085
2016-05-06,90.84,4,-0.06120959332638165
2016-05-13,87.88,4,0.008997000999666716
2016-05-20,92.49,4,-0.03258476442096003
2016-05-27,103.3,4,0.05245789713245341
2016-06-03,99.59,4,0.11687750027029953
2016-06-10,93.75,4,-0.035914811229428745
2016-06-17,94.45,4,-0.058640425745556835
2016-06-24,88.44,4,0.0074666666666667325
2016-07-01,96.67,4,-0.06363155108523033
2016-07-08,97.06,4,0.09305744007236538
2016-07-15,98.39,4,0.004034343643322558
2016-07-22,85.89,4,0.013702864207706611
2016-07-29,91.25,4,-0.12704543144628522
2016-08-05,97.03,4,0.06240540225870306
2016-08-12,96.59,4,0.06334246575342473
2016-08-19,95.87,4,-0.004534679995877533
2016-08-26,97.58,4,-0.007454187804120549
2016-09-02,97.38,4,0.017836653802023594
2016-09-09,96.5,4,-0.0020496003279361075
2016-09-16,99.48,4,-0.009036763195727993
2016-09-23,95.94,4,0.03088082901554401
2016-09-30,98.55,4,-0.03558504221954173
2016-10-07,104.82,4,0.027204502814258902
2016-10-14,101.47,4,0.06362252663622514
2016-10-21,127.5,4,-0.03195954970425485
2016-10-28,126.57,4,0.25652902335665706
2016-11-04,122.03,4,-0.007294117647058895
2016-11-11,114.78,4,-0.03586947933949591
2016-11-18,115.21,4,-0.059411620093419604
2016-11-25,117.41,4,0.0037462972643316217
2016-12-02,120.81,4,0.019095564621126604
2016-12-09,122.88,4,0.028958351077420952
2016-12-16,124.22,4,0.017134343183511147
2016-12-23,125.59,4,0.01090494791666674
2016-12-30,123.8,4,0.011028819835775305
2017-01-06,131.07,4,-0.01425272712795611
2017-01-13,133.7,4,0.05872374798061397
2017-01-20,138.6,4,0.020065613794155723
2017-01-27,142.45,4,0.03664921465968596
2017-02-03,140.25,4,0.02777777777777768
2017-02-10,144.82,4,-0.015444015444015413
2017-02-17,142.22,4,0.03258467023172895
2017-02-24,143.25,4,-0.01795332136445238
2017-03-03,139.14,4,0.007242300660947887
2017-03-10,140.89,4,-0.028691099476439885
2017-03-17,145.11,4,0.012577260313353378
2017-03-24,142.02,4,0.02995244516999107
2017-03-31,147.81,4,-0.02129419061401694
2017-04-07,143.11,4,0.04076890578791703
2017-04-21,142.87,4,-0.03179757797172034
2017-04-28,152.2,4,-0.0016770316539724828
2017-05-05,156.6,4,0.06530412262896323
2017-05-12,160.81,4,0.02890932982917227
2017-05-19,157.02,4,0.026883780332056295
2017-05-26,162.43,4,-0.023568186058080864
2017-06-02,165.18,4,0.034454209654821044
2017-06-09,158.03,4,0.016930370005540762
2017-06-16,152.38,4,-0.043286112120111464
2017-06-23,158.02,4,-0.03575270518256035
2017-06-30,149.41,4,0.03701273132957095
2017-07-07,150.18,4,-0.05448677382609801
2017-07-14,161.12,4,0.0051536041764272955
2017-07-21,188.54,4,0.07284591823145559
2017-07-28,184.04,4,0.17018371400198595
2017-08-04,180.27,4,-0.023867614299352913
2017-08-11,171.4,4,-0.02048467724407732
2017-08-18,166.54,4,-0.049203971820047765
2017-08-25,165.95,4,-0.02835472578763132
2017-09-01,174.74,4,-0.0035426924462591547
2017-09-08,176.42,4,0.05296776137390791
2017-09-15,182.35,4,0.009614284079203284
2017-09-22,187.35,4,0.03361296905112798
2017-09-29,181.35,4,0.027419797093501508
2017-10-06,198.02,4,-0.03202562049639712
2017-10-13,199.49,4,0.09192169837331132
2017-10-20,194.16,4,0.007423492576507318
2017-10-27,199.54,4,-0.02671813123464839
2017-11-03,200.01,4,0.02770910589204778
2017-11-10,192.02,4,0.0023554174601583266
2017-11-17,193.2,4,-0.03994800259986986
2017-11-24,195.75,4,0.006145193209040611
2017-12-01,186.82,4,0.013198757763975166
2017-12-08,188.54,4,-0.04561941251596424
2017-12-15,190.12,4,0.009206723048924115
2017-12-22,189.94,4,0.008380184576217253
2017-12-29,191.96,4,-0.0009467704607616367
2018-01-05,209.99,4,0.01063493734863652
2018-01-12,221.23,4,0.09392581787872478
