Date,TXN,dayofweek,weekly_ret
2015-02-06,46.64787678815311,4,-0.0231212746801307
2015-02-13,49.74143079516733,4,0.01702525724976578
2015-02-20,50.21769223036646,4,0.06631714495952945
2015-02-27,50.457968269746196,4,0.009574743379625383
2015-03-06,49.4625389637444,4,0.004784688995215225
2015-03-13,49.01202138990739,4,-0.019727891156462563
2015-03-20,50.86987005154006,4,-0.009108258154059468
2015-03-27,48.70738569712236,4,0.03790597916484306
2015-04-10,49.51402668646864,4,-0.04251012145749
2015-04-17,49.19651906300255,4,0.016560958421423466
2015-04-24,46.96538441161921,4,-0.006412478336221827
2015-05-01,47.756027975165956,4,-0.04535147392290251
2015-05-08,47.2293388219414,4,0.016834602195891835
2015-05-15,48.01505542757149,4,-0.011028747062013733
2015-05-22,47.80351634144032,4,0.016636197440584866
2015-05-29,48.282717128390544,4,-0.004405682431217084
