Date,T,dayofweek,weekly_ret
2015-02-13,24.576569268358213,4,0.05923450789793416
2015-02-20,24.165305270214887,4,-0.006022368798393907
2015-02-27,24.505661682471434,4,-0.016733987305250886
2015-03-06,23.739859754894198,4,0.014084507042253502
2015-03-13,23.229325136509374,4,-0.03125000000000011
2015-03-20,23.56259079017725,4,-0.021505376344086113
2015-03-27,23.2222343779207,4,0.01434676434676474
2015-04-10,23.570906414874354,4,-0.014444778814324488
2015-04-17,23.38389281500046,4,0.015014577463965617
2015-04-24,24.462817429657512,4,-0.007934086054318112
2015-05-01,24.75772349099711,4,0.04613964933866499
2015-05-08,24.23264684519734,4,0.01205527785945315
2015-05-15,24.692988014117685,4,-0.021208599651365678
2015-05-22,24.96631558316414,4,0.018996734936183035
2015-05-29,24.844037460169673,4,0.011069035828721319
2015-06-05,24.865615952462807,4,-0.004897723998847581
2015-06-12,24.923158598577853,4,0.0008685581933987052
2015-06-19,25.167714844566788,4,0.0023141452126123063
2015-06-26,25.980504720941767,4,0.009812409812409939
2015-07-10,25.259861229832,4,0.03229494141183187
2015-07-17,25.52230134650557,4,-0.02773785570566245
2015-07-24,24.997421113158413,4,0.010389610389609949
2015-07-31,25.3254712590004,4,-0.020565552699228773
2015-08-07,24.93910108723096,4,0.01312335958005284
2015-08-14,24.82246103537603,4,-0.015256188831318518
2015-08-21,24.334030818233536,4,-0.004676995030692965
2015-08-28,24.268420789065146,4,-0.01967694566813505
2015-09-04,23.73625055247705,4,-0.002696225284601339
2015-09-11,23.85289060433197,4,-0.02192850705917715
2015-09-18,23.72896054923612,4,0.004914004914004844
2015-09-25,23.5685804779356,4,-0.0051955990220046155
2015-10-02,23.794570578404517,4,-0.00675883256528409
2015-10-09,24.50190779504089,4,0.009588617383235354
2015-10-16,25.01205614683866,4,0.02972683261106379
2015-10-23,24.94551505747373,4,0.020820760410380057
2015-10-30,24.775465606874477,4,-0.00266036062666275
2015-11-06,24.516694703788644,4,-0.006816834617664358
2015-11-13,23.888251082008786,4,-0.010444643390033037
2015-11-20,24.88636742248268,4,-0.025633293124245782
2015-11-27,24.81982633311776,4,0.04178272980501352
2015-12-04,25.219072869307322,4,-0.002673796791443639
2015-12-11,24.52408815816253,4,0.01608579088471851
2015-12-18,24.842006696239398,4,-0.027557900908824262
2016-01-08,25.147113675973745,4,0.012963521254145016
2016-01-15,25.484507866617406,4,0.01228189749182107
2016-01-22,26.346737464928964,4,0.013416815742397281
2016-01-29,27.036521143578213,4,0.03383348043542189
2016-02-05,27.651328335417773,4,0.026180990324416564
2016-02-12,27.34392473949799,4,0.022739877981142964
2016-02-19,27.418901226307693,4,-0.011117136659436366
2016-02-26,27.838769552442017,4,0.002741979709350195
2016-03-04,28.438581446919628,4,0.015313098167897055
2016-03-11,28.76098034020134,4,0.02154591974144915
2016-03-18,28.91093331382075,4,0.011336672818349491
2016-04-01,29.27831809918828,4,0.005213764337852256
2016-04-08,29.224530619520444,4,0.012707468879667783
2016-04-15,29.20934904517264,4,-0.001837109614207244
2016-04-22,28.898126771042687,4,-0.0005194805194805863
2016-04-29,29.467435809085288,4,-0.010654885654885482
2016-05-06,29.596479191041613,4,0.01970055161544515
2016-05-13,29.717931785824035,4,0.0043791859866049165
2016-05-20,29.18657668365094,4,0.004103616311874836
2016-05-27,29.596479191041613,4,-0.017879948914431565
2016-06-03,29.763476508867445,4,0.014044213263979088
2016-06-10,30.613644672344407,4,0.005642472428827983
2016-06-17,30.917276159300453,4,0.028564141800561105
2016-06-24,31.516948346038674,4,0.009918175055789291
2016-07-01,32.99715184494945,4,0.0193960225877734
2016-07-08,32.704559581660675,4,0.04696531791907521
2016-07-15,32.91946868006164,4,-0.008867197528551474
2016-07-22,33.08832582880525,4,0.006571227411405811
2016-07-29,33.2264816777773,4,0.0051294007927256136
2016-08-05,33.126702453519705,4,0.0041753653444676075
2016-08-12,33.21880635283441,4,-0.0030030030030031574
2016-08-19,31.47650759079804,4,0.002780352177942813
2016-08-26,31.223221867682614,4,-0.052449168207024166
2016-09-02,31.43045564114069,4,-0.008046817849305277
2016-09-09,30.478715348222146,4,0.006637168141593097
2016-09-16,30.854806270423826,4,-0.030280830280830173
2016-09-23,31.68374136425611,4,0.012339461092923498
2016-09-30,31.16949459308238,4,0.02686567164179121
2016-10-07,30.19967534273961,4,-0.016230620155038733
2016-10-14,30.471604500700987,4,-0.031114372016734837
2016-10-21,29.127497519920453,4,0.009004373552868428
2016-10-28,28.366095877628588,4,-0.04411014788373269
2016-11-04,28.358326473115405,4,-0.02614030408108825
2016-11-11,28.366095877628588,4,-0.00027389756231177564
2016-11-18,29.18188335151273,4,0.00027397260273986923
2016-11-25,30.46383509618781,4,0.028759244042728005
2016-12-02,29.99767082539687,4,0.04392971246006394
2016-12-09,31.372855424230146,4,-0.015302218821729219
2016-12-16,32.37510860643066,4,0.045843045843046104
2016-12-23,33.198665484827984,4,0.03194650817236244
2016-12-30,33.04327739456433,4,0.02543796496280315
2017-01-06,32.48388026961521,4,-0.004680552305172281
2017-01-13,32.20086485584315,4,-0.01692922642840311
2017-01-20,32.58608028014401,4,-0.00871248789932244
2017-01-27,33.02632647934499,4,0.011962890625
2017-02-03,32.42884949471509,4,0.013510253317249532
2017-02-10,32.53104950524389,4,-0.018090930730778276
2017-02-17,32.609664897958346,4,0.0031515151515153494
2017-02-24,33.301480353845605,4,0.0024166263895599727
2017-03-03,33.02632647934499,4,0.02121504339440694
2017-03-10,33.29361881457416,4,-0.00826251180358839
2017-03-17,33.498018835631754,4,0.008093311116400992
2017-03-24,32.76689568338727,4,0.006139315230224263
2017-03-31,32.664695672858464,4,-0.021825862473597746
2017-04-07,32.29510844645413,4,-0.0031190019193859664
2017-04-21,31.76998473187764,4,-0.011314577368355172
2017-04-28,31.53129213434287,4,-0.016260162601626105
2017-05-05,30.679955203135535,4,-0.007513148009015813
2017-05-12,30.624260263710752,4,-0.026999747665909513
2017-05-19,30.42534976576511,4,-0.0018153526970955403
2017-05-26,30.329872726751198,4,-0.006495193556768086
2017-06-02,30.92660422058812,4,-0.003138075313807609
2017-06-09,30.862952861245518,4,0.019674711437565717
2017-06-16,30.99821199984855,4,-0.0020581425263699327
2017-06-23,30.19461358814817,4,0.004382572828048437
2017-06-30,30.019572349956004,4,-0.025924024640656906
2017-07-07,29.81060825847245,4,-0.005797101449275366
2017-07-14,29.26244131375202,4,-0.006960928325278504
2017-07-21,29.43172816432745,4,-0.01838831800973517
2017-07-28,31.438986535436058,4,0.005785123966942196
2017-08-04,30.979493655302768,4,0.06820049301561215
2017-08-11,30.713471461541385,4,-0.014615384615384364
2017-08-18,30.12499812382681,4,-0.00858704137392663
2017-08-25,30.624797396954254,4,-0.019160104986876703
2017-09-01,30.213672188413934,4,0.016590848274016468
2017-09-08,28.69009053323512,4,-0.01342458541721514
2017-09-15,29.90734360165841,4,-0.05042689434364955
2017-09-22,31.10847411288405,4,0.042427648215790814
2017-09-29,31.576028271616174,4,0.04016172506738558
2017-10-06,31.503476764226704,4,0.015029800466441978
2017-10-13,29.144185552808853,4,-0.002297676793464487
2017-10-20,29.013567354252835,4,-0.0748898678414095
2017-10-27,27.73187628092203,4,-0.004481792717087263
2017-11-03,27.18491257446875,4,-0.0441755768148564
2017-11-10,27.935967216165785,4,-0.019723285251692868
2017-11-17,28.172712701048546,4,0.027627627627627716
2017-11-24,28.417621823341058,4,0.008474576271186418
2017-12-01,29.79727654558887,4,0.008693132425384054
2017-12-08,29.98504020601313,4,0.048549267451881484
2017-12-15,31.21774945488544,4,0.006301369863013884
2017-12-22,31.789204073567962,4,0.041110808603321614
2017-12-29,31.740222249109465,4,0.018305439330543738
2018-01-05,31.136113080787936,4,-0.0015408320493064398
2018-01-12,30.52558013803088,4,-0.0190329218106996
2018-01-19,30.78202810125012,4,-0.01960851507614092
2018-01-26,31.28665151274602,4,0.008401084010840387
2018-02-02,31.493464386309913,4,0.016393442622950616
2018-02-09,29.822416367913643,4,0.0066102591221575135
2018-02-16,30.724120496652226,4,-0.05306015235093242
2018-02-23,30.37667486906488,4,0.03023578363384183
2018-03-02,30.07059181619032,4,-0.011308562197092198
2018-03-09,30.649667862169217,4,-0.010076252723311363
2018-03-16,30.608305287456442,4,0.019257221458046425
2018-03-23,28.70562685066861,4,-0.0013495276653170407
2018-04-06,29.474970740326306,4,-0.06216216216216208
2018-04-13,29.482890432624163,4,0.0268011527377523
2018-04-20,29.088554675557194,4,0.00026869211737756693
2018-04-27,27.72096470955897,4,-0.013375071143995387
2018-05-04,26.96585368538818,4,-0.04701471012402669
2018-05-11,27.091705522749976,4,-0.02723970944309917
2018-05-18,26.890342582971098,4,0.004667081518357152
2018-05-25,27.276288217547282,4,-0.007432641684732122
2018-06-01,27.24272772758414,4,0.0143525741029642
2018-06-08,28.383784386331115,4,-0.0012303906490309657
2018-06-15,27.81325605695763,4,0.041884816753926524
2018-06-22,26.588298173302785,4,-0.02010050251256268
2018-06-29,26.94068331791582,4,-0.04404223227752635
2018-07-06,27.418920299890647,4,0.0132533922372986
2018-07-13,26.98476081989697,4,0.017751479289940475
