Date,COST,dayofweek,weekly_ret
2015-02-13,129.57364366085147,4,0.07480887231243583
2015-02-20,129.9568152107663,4,-0.008378390556211701
2015-02-27,129.45032408156857,4,0.002957171991842422
2015-03-06,131.7273320276141,4,-0.003897380282644747
2015-03-13,131.49390568111428,4,0.01758982035928125
2015-03-20,134.40953287701788,4,-0.0017720418603094368
2015-03-27,132.54212210501922,4,0.022173097534833985
2015-04-10,131.80660890001027,4,-0.01389343993708625
2015-04-17,127.34508269238137,4,-0.005549278926031964
2015-04-24,130.4721148813414,4,-0.033849032646105504
2015-05-01,128.42199303433526,4,0.024555578612436957
2015-05-08,128.8548066844269,4,-0.01571310351541899
2015-05-15,127.92734886280195,4,0.003370245546461259
2015-05-22,126.91156172483177,4,-0.007197696737044179
2015-05-29,125.94877217666873,4,-0.007940343851411957
